Incident Number;Date;Time;Police District;Offense 1;Offense 2;Offense 3;Location
153340029;11/30/2015;06:36 AM;4.0;BURGLARY/BREAKING AND ENTERING;;;3820 W ELM ST
153340036;11/30/2015;06:46 AM;5.0;MOTOR VEHICLE THEFT;;;4154 N 17TH ST
153340054;11/30/2015;10:07 AM;5.0;THEFT FROM MOTOR VEHICLE;;;4186 N 19TH PL
153340064;11/30/2015;11:18 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;2514 W HAMPTON AV
153340072;11/30/2015;08:44 AM;7.0;MOTOR VEHICLE THEFT;;;4300 W STARK ST
153340074;11/30/2015;11:42 AM;5.0;THEFT FROM MOTOR VEHICLE;;;4343 N 19TH PL
153340079;11/30/2015;12:28 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;4732 N 30TH ST
153340090;11/30/2015;12:35 PM;5.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;4242 N 19TH ST
153340098;11/30/2015;02:54 PM;5.0;MOTOR VEHICLE THEFT;;;4290 N TEUTONIA AV
153340099;11/30/2015;02:02 PM;7.0;AGGRAVATED ASSAULT;;;4917 N 37TH ST
153340099;11/30/2015;02:02 PM;7.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;4917 N 37TH ST
153340101;11/30/2015;03:10 PM;5.0;MOTOR VEHICLE THEFT;;;4364 N 17TH ST
153340112;11/30/2015;03:06 PM;7.0;AGGRAVATED ASSAULT;;;3200 W HAMPTON AV
153340116;11/30/2015;04:34 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;5256 N 36TH ST
153340124;11/30/2015;05:17 PM;4.0;THEFT FROM MOTOR VEHICLE;;;5955 N TEUTONIA AV
153340167;11/30/2015;08:41 PM;7.0;MOTOR VEHICLE THEFT;;;5034 N 41ST ST
153340173;11/30/2015;07:44 PM;4.0;BURGLARY/BREAKING AND ENTERING;;;5887 N 34TH ST
153330003;11/29/2015;12:59 AM;5.0;MOTOR VEHICLE THEFT;;;1700 W CONGRESS ST
153330040;11/29/2015;07:59 AM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;4192 N 16TH ST
153330073;11/29/2015;01:29 PM;4.0;BURGLARY/BREAKING AND ENTERING;;;5977 N 41ST ST
153330076;11/29/2015;01:43 PM;7.0;MOTOR VEHICLE THEFT;;;4963 N 48TH ST
153330081;11/29/2015;02:24 PM;4.0;AGGRAVATED ASSAULT;;;5733 N 32ND ST
153330094;11/29/2015;04:34 PM;5.0;MOTOR VEHICLE THEFT;;;4732 N 32ND ST
153330119;11/29/2015;06:03 PM;7.0;MOTOR VEHICLE THEFT;;;4935 N 52ND ST
153330124;11/29/2015;06:11 PM;4.0;ROBBERY;;;2616 W VILLARD AV
153330149;11/29/2015;08:33 PM;7.0;SIMPLE ASSAULT;;;4522 W HAMPTON AV #201
153330169;11/29/2015;06:39 PM;5.0;SIMPLE ASSAULT;;;4538 N 21ST ST
153330171;11/29/2015;10:12 PM;4.0;AGGRAVATED ASSAULT;;;5555 N TEUTONIA AV #4
