INCIDENT_N,CDATE,CTIME,POLICE_DISTRICT,OFFENSE1,OFFENSE2,OFFENSE3,OFFENSE4,OFFENSE5,LOCATION
150310013,01/31/2015,02:05 AM,4,AGGRAVATED ASSAULT,,,,,7658 W WABASH CT
150310090,01/31/2015,05:06 PM,4,ROBBERY,BURGLARY/BREAKING AND ENTERING,,,,8970-H N 95TH ST
150300054,01/30/2015,07:48 AM,4,INTIMIDATION,,,,,11000 W HEATHER AV
150300061,01/30/2015,10:18 AM,4,BURGLARY/BREAKING AND ENTERING,,,,,5720 W THURSTON AV
150300076,01/30/2015,01:58 PM,4,SIMPLE ASSAULT,,,,,7501 N GRANVILLE RD
150300098,01/30/2015,06:17 PM,4,THEFT FROM BUILDING,,,,,7101 W GOOD HOPE RD
150290032,01/29/2015,06:56 AM,4,ROBBERY,,,,,6011 W BRADLEY RD
150290069,01/29/2015,11:07 AM,4,AGGRAVATED ASSAULT,,,,,5468 N 58TH ST
150290150,01/29/2015,09:17 PM,4,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,,,,,7460 N 86TH ST
150280060,01/28/2015,11:40 AM,4,BURGLARY/BREAKING AND ENTERING,,,,,8965 N 96TH ST
150280067,01/28/2015,12:50 PM,4,ROBBERY,,,,,5601 N 60TH ST
150280102,01/28/2015,01:15 PM,4,ALL OTHER LARCENY,,,,,7206 W MILL RD
150280127,01/28/2015,07:29 PM,4,MOTOR VEHICLE THEFT,,,,,8247 W BROWN DEER RD
150280138,01/28/2015,03:27 PM,4,THEFT FROM BUILDING,MOTOR VEHICLE THEFT,,,,5730 W CARMEN AV
141930133,01/27/2015,02:16 PM,4,BURGLARY/BREAKING AND ENTERING,,,,,6523 N 53RD ST
150270025,01/27/2015,07:23 AM,4,MOTOR VEHICLE THEFT,,,,,10040 W FOUNTAIN AV
150270027,01/27/2015,08:13 AM,4,MOTOR VEHICLE THEFT,,,,,5801 W CARMEN AV
150270083,01/27/2015,01:48 PM,4,ALL OTHER LARCENY,,,,,6415 N 56TH ST
150260024,01/26/2015,08:03 AM,4,MOTOR VEHICLE THEFT,,,,,8973 N 85TH ST
