INCIDENT_N,CDATE,CTIME,POLICE_DISTRICT,OFFENSE1,OFFENSE2,OFFENSE3,OFFENSE4,OFFENSE5,LOCATION
150310029,01/31/2015,04:32 AM,2,MOTOR VEHICLE THEFT,,,,,3510 W LINCOLN AV
150310046,01/31/2015,10:51 AM,6,THEFT FROM BUILDING,,,,,6441 W OKLAHOMA AV #LWR
150310050,01/31/2015,11:31 AM,6,SIMPLE ASSAULT,,,,,8221-1 W OKLAHOMA AV
150310122,01/31/2015,09:18 PM,6,THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES,,,,,5411 W OHIO AV
150300021,01/30/2015,01:06 AM,6,ROBBERY,,,,,9320 W MORGAN AV
150300030,01/30/2015,06:48 AM,6,ALL OTHER LARCENY,,,,,3110 S 76TH ST
150300122,01/30/2015,06:05 PM,6,AGGRAVATED ASSAULT,,,,,6215 W WARNIMONT AV
150290014,01/29/2015,12:25 AM,2,MOTOR VEHICLE THEFT,,,,,2222 S 36TH ST
150290020,01/29/2015,01:38 AM,6,AGGRAVATED ASSAULT,,,,,6210 W FOREST HOME AV #7
150290025,01/29/2015,03:56 AM,6,MOTOR VEHICLE THEFT,,,,,3869 S 84TH ST
150290060,01/29/2015,11:20 AM,6,MOTOR VEHICLE THEFT,,,,,3828 S MINER ST
150280025,01/28/2015,07:46 AM,6,BURGLARY/BREAKING AND ENTERING,,,,,2835 S 68TH ST
150280054,01/28/2015,12:15 PM,6,THEFT FROM BUILDING,,,,,8821 W OKLAHOMA AV
150280080,01/28/2015,03:08 PM,6,ALL OTHER LARCENY,,,,,5732 W OKLAHOMA AV
150280089,01/28/2015,03:14 PM,6,BURGLARY/BREAKING AND ENTERING,,,,,3624 S 82ND ST
150280096,01/28/2015,04:39 PM,6,AGGRAVATED ASSAULT,,,,,2461 S 43RD ST #315
150280164,01/28/2015,11:22 PM,6,SIMPLE ASSAULT,,,,,3795 S 27TH ST
150290005,01/28/2015,11:49 PM,6,ROBBERY,,,,,3869 S 84TH ST
150270018,01/27/2015,03:48 AM,2,BURGLARY/BREAKING AND ENTERING,,,,,2563 S 34TH ST
150270030,01/27/2015,08:26 AM,6,MOTOR VEHICLE THEFT,,,,,4200 S 51ST ST
150270060,01/27/2015,09:37 AM,6,BURGLARY/BREAKING AND ENTERING,,,,,2567 S 66TH ST
150270069,01/27/2015,12:43 PM,6,THEFT FROM MOTOR VEHICLE,,,,,3354 S 27TH ST
150270072,01/27/2015,09:18 AM,6,SIMPLE ASSAULT,,,,,2800 W HOWARD AV
150260068,01/26/2015,12:02 PM,6,THEFT FROM MOTOR VEHICLE,,,,,5200 W OKLAHOMA AV
150260094,01/26/2015,04:52 PM,6,SIMPLE ASSAULT,,,,,2461 S 43RD ST #APT20
150260105,01/26/2015,05:51 PM,6,SIMPLE ASSAULT,,,,,2910 S 61ST ST #UPR
150250077,01/25/2015,02:37 PM,6,THEFT FROM BUILDING,,,,,2626 S 68TH ST
150250121,01/25/2015,04:26 PM,6,SHOPLIFTING,,,,,3355 S 27TH ST
150250124,01/25/2015,09:00 PM,6,MOTOR VEHICLE THEFT,,,,,3355 S 27TH ST
