INCIDENT_N,CDATE,CTIME,POLICE_DISTRICT,OFFENSE1,OFFENSE2,OFFENSE3,OFFENSE4,OFFENSE5,LOCATION
150310018,01/31/2015,05:02 AM,4,SIMPLE ASSAULT,,,,,6607 W SHERIDAN AV
150310058,01/31/2015,09:23 AM,4,BURGLARY/BREAKING AND ENTERING,,,,,9104 W CUSTER AV
150310062,01/31/2015,11:55 AM,7,THEFT FROM MOTOR VEHICLE,,,,,4258 N 63RD ST
150310099,01/31/2015,03:52 PM,4,BURGLARY/BREAKING AND ENTERING,,,,,6049 N 77TH ST
150310127,01/31/2015,10:30 PM,4,MOTOR VEHICLE THEFT,,,,,5370 N 61ST ST
150300006,01/30/2015,12:47 AM,4,ARSON,,,,,8665 W FOND DU LAC AV
150300038,01/30/2015,08:09 AM,7,MOTOR VEHICLE THEFT,,,,,6225 W SPENCER PL
150300088,01/30/2015,03:08 PM,4,THEFT FROM BUILDING,,,,,9632 W APPLETON AV
150300103,01/30/2015,05:39 PM,7,AGGRAVATED ASSAULT,,,,,4843 N 71ST ST
150300115,01/30/2015,06:21 PM,4,AGGRAVATED ASSAULT,,,,,5448 N 68TH ST
150300124,01/30/2015,07:53 PM,4,BURGLARY/BREAKING AND ENTERING,,,,,5709 W CUSTER AV
150300126,01/30/2015,04:07 PM,7,ROBBERY,,,,,4023 N 47TH ST
150290040,01/29/2015,08:33 AM,7,THEFT FROM BUILDING,,,,,4865 N 72ND ST
150290049,01/29/2015,09:02 AM,7,ROBBERY,,,,,5228 W FOND DU LAC AV
150290053,01/29/2015,10:04 AM,4,MOTOR VEHICLE THEFT,,,,,5712 N 76TH ST
150290055,01/29/2015,10:20 AM,7,MOTOR VEHICLE THEFT,,,,,6131 W LINCOLN CREEK DR
150290062,01/29/2015,10:34 AM,7,SIMPLE ASSAULT,,,,,4141 N 64TH ST
150290064,01/29/2015,11:03 AM,7,SHOPLIFTING,,,,,5700 W CAPITOL DR
150290108,01/29/2015,05:24 PM,7,MOTOR VEHICLE THEFT,,,,,5001 N 63RD ST
150290113,01/29/2015,11:19 AM,4,STATUTORY RAPE,,,,,
150290114,01/29/2015,05:43 PM,7,MOTOR VEHICLE THEFT,,,,,7000 W CAPITOL DR
150290129,01/29/2015,12:23 PM,4,BURGLARY/BREAKING AND ENTERING,,,,,6506 W CARMEN AV #LWR
150290151,01/29/2015,08:33 PM,7,BURGLARY/BREAKING AND ENTERING,,,,,4442 N 69TH ST
150250130,01/28/2015,10:13 PM,4,ROBBERY,,,,,6603 W SHERIDAN AV
150270148,01/28/2015,04:02 AM,4,BURGLARY/BREAKING AND ENTERING,KIDNAPING,,,,5709 W CUSTER AV
150270148,01/28/2015,04:02 AM,4,ROBBERY,BURGLARY/BREAKING AND ENTERING,KIDNAPING,,,5709 W CUSTER AV
150280016,01/28/2015,02:14 AM,4,AGGRAVATED ASSAULT,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,,,,8822 W WINFIELD AV
150280016,01/28/2015,02:14 AM,4,AGGRAVATED ASSAULT,,,,,8822 W WINFIELD AV
150280016,01/28/2015,02:14 AM,4,SIMPLE ASSAULT,,,,,8822 W WINFIELD AV
150280030,01/28/2015,09:02 AM,7,MOTOR VEHICLE THEFT,,,,,4545 N 75TH ST
150280125,01/28/2015,05:56 PM,4,INTIMIDATION,,,,,8924 W CARMEN AV #1
150280130,01/28/2015,04:56 PM,4,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,,,,,8718 W THURSTON AV
150280137,01/28/2015,08:47 PM,7,THEFT FROM BUILDING,,,,,4141 N 64TH ST
150290004,01/28/2015,09:20 PM,4,THEFT FROM BUILDING,,,,,5951 N 68TH ST
143160139,01/27/2015,06:01 AM,4,BURGLARY/BREAKING AND ENTERING,,,,,5924 N 66TH ST
150270002,01/27/2015,12:23 AM,7,SIMPLE ASSAULT,,,,,6301 W CONGRESS ST
150270031,01/27/2015,07:52 AM,4,THEFT FROM MOTOR VEHICLE,,,,,5925 N 71ST ST
150270078,01/27/2015,01:12 PM,7,ROBBERY,,,,,6143 W LEON TR
150270103,01/27/2015,05:01 PM,7,THEFT FROM MOTOR VEHICLE,,,,,4110 N 76TH ST
150270117,01/27/2015,05:14 PM,7,THEFT FROM MOTOR VEHICLE,,,,,6707 W HAMPTON AV
150270126,01/27/2015,07:22 PM,4,AGGRAVATED ASSAULT,,,,,9319 W SILVER SPRING DR
150270155,01/27/2015,09:31 PM,4,THEFT FROM BUILDING,,,,,7033 W SHERIDAN AV
150260003,01/26/2015,12:30 AM,4,AGGRAVATED ASSAULT,DISORDERLY CONDUCT,,,,7420 W VILLARD AV
150260003,01/26/2015,12:30 AM,4,AGGRAVATED ASSAULT,,,,,7420 W VILLARD AV
150260062,01/26/2015,10:25 AM,7,THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES,,,,,4247 N 71ST ST
150260077,01/26/2015,03:03 PM,7,ALL OTHER LARCENY,,,,,4101 N 56TH ST
150260086,01/26/2015,02:55 PM,4,ALL OTHER LARCENY,,,,,5725 N 95TH ST
150260099,01/26/2015,05:02 PM,4,BURGLARY/BREAKING AND ENTERING,,,,,6603 W CUSTER AV
150260116,01/26/2015,03:55 PM,4,AGGRAVATED ASSAULT,,,,,5306 N 53RD ST
150260129,01/26/2015,07:50 PM,7,SIMPLE ASSAULT,,,,,7421 W GRANTOSA DR
150260161,01/26/2015,12:20 AM,7,MOTOR VEHICLE THEFT,,,,,7114 W CONGRESS ST
150250016,01/25/2015,02:13 AM,7,AGGRAVATED ASSAULT,,,,,4801 N 66TH ST
150250061,01/25/2015,12:07 PM,7,ALL OTHER LARCENY,,,,,6570 W MEDFORD AV
150250068,01/25/2015,12:57 PM,4,AGGRAVATED ASSAULT,,,,,5920 N 76TH ST
150250075,01/25/2015,02:23 PM,7,THEFT FROM MOTOR VEHICLE,,,,,4431 N 67TH ST
150250089,01/25/2015,03:28 PM,4,ROBBERY,,,,,9414 W SHERIDAN AV
150250116,01/25/2015,08:05 PM,7,THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES,,,,,7600 W HAMPTON AV
150250125,01/25/2015,06:20 PM,4,AGGRAVATED ASSAULT,,,,,10100 W APPLETON AV
150250129,01/25/2015,08:52 PM,7,BURGLARY/BREAKING AND ENTERING,,,,,3859 N 54TH BL
150250136,01/25/2015,11:00 PM,7,BURGLARY/BREAKING AND ENTERING,,,,,4134 N 49TH ST
150240002,01/24/2015,12:01 AM,7,MOTOR VEHICLE THEFT,,,,,7701 W KATHRYN AV
150240024,01/24/2015,01:51 AM,7,SIMPLE ASSAULT,,,,,8015 W VILLARD AV #LWR
150240094,01/24/2015,01:14 PM,7,BURGLARY/BREAKING AND ENTERING,,,,,8520 W APPLETON AV
150240108,01/24/2015,03:22 PM,4,THEFT FROM MOTOR VEHICLE,,,,,5320 N 63RD ST
150240111,01/24/2015,01:18 PM,4,ROBBERY,,,,,8754 W CARMEN AV
150240134,01/24/2015,06:01 PM,4,SIMPLE ASSAULT,,,,,6372 N 89TH ST #1
150240137,01/24/2015,06:35 PM,4,BURGLARY/BREAKING AND ENTERING,,,,,5352 N 55TH ST
150240141,01/24/2015,04:55 PM,7,THEFT FROM BUILDING,,,,,4400 N 58TH ST
150230006,01/23/2015,12:52 AM,4,INTIMIDATION,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,,,,9405 W BECKETT AV #2
150230007,01/23/2015,12:20 AM,4,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,,,,,5824 N 83RD ST #LWR
150230053,01/23/2015,10:45 AM,7,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,,,,,4077 N 60TH ST #1
150230062,01/23/2015,01:18 PM,7,SIMPLE ASSAULT,,,,,7307 W BECKETT AV #2
150230077,01/23/2015,03:19 PM,7,AGGRAVATED ASSAULT,,,,,6050 W FOND DU LAC AV
150230088,01/23/2015,03:34 PM,4,ROBBERY,,,,,5767 N 75TH ST
150230089,01/23/2015,03:53 PM,7,THEFT FROM BUILDING,,,,,5265 W FOND DU LAC AV
150230096,01/23/2015,05:24 PM,7,THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES,,,,,4969 N 73RD ST
150230116,01/23/2015,07:04 PM,4,ROBBERY,,,,,5200 N 61ST ST
150230138,01/23/2015,07:04 PM,4,PURSE SNATCHING,,,,,6000 W VILLARD AV
150220008,01/22/2015,01:18 AM,4,SIMPLE ASSAULT,,,,,9200 W SWAN CR
150220023,01/22/2015,10:08 AM,7,MOTOR VEHICLE THEFT,,,,,7208 W HAMPTON AV
150220041,01/22/2015,11:07 AM,4,BURGLARY/BREAKING AND ENTERING,,,,,5940 N 72ND ST
150220094,01/22/2015,08:03 PM,7,MOTOR VEHICLE THEFT,,,,,6750 W RUBY AV
150210049,01/21/2015,09:16 AM,4,BURGLARY/BREAKING AND ENTERING,,,,,6049 N 77TH ST #5408
150210050,01/21/2015,10:25 AM,7,ROBBERY,,,,,6926 W CAPITOL DR
150210100,01/21/2015,03:56 PM,4,ALL OTHER LARCENY,,,,,5626 N 91ST ST
150210112,01/21/2015,03:24 PM,4,BURGLARY/BREAKING AND ENTERING,,,,,6049 N 77TH ST
150200082,01/20/2015,12:35 PM,4,FORCIBLE FONDLING,,,,,
150200091,01/20/2015,04:29 PM,7,THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES,,,,,4226 N 62ND ST
150200092,01/20/2015,03:52 PM,4,BURGLARY/BREAKING AND ENTERING,,,,,5719 N 72ND ST
150200108,01/20/2015,05:39 PM,7,MOTOR VEHICLE THEFT,,,,,4336 N 63RD ST
150200113,01/20/2015,03:11 PM,7,BURGLARY/BREAKING AND ENTERING,,,,,7806 W HAMPTON AV
150200119,01/20/2015,02:37 PM,4,INTIMIDATION,,,,,6270 N 76TH ST
150200131,01/20/2015,07:16 PM,4,BURGLARY/BREAKING AND ENTERING,,,,,5734 N 76TH ST #2
150200133,01/20/2015,07:25 PM,4,AGGRAVATED ASSAULT,,,,,8904 W VILLARD AV #2
150200146,01/20/2015,01:49 PM,4,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,,,,,8711 W THURSTON AV #11
150200156,01/20/2015,08:42 PM,7,BURGLARY/BREAKING AND ENTERING,,,,,4074 N 61ST ST #LWR
150200170,01/20/2015,09:43 PM,7,THEFT FROM BUILDING,,,,,4960 N 73RD ST
150190002,01/19/2015,12:30 AM,7,ARSON,,,,,4302 N 63RD ST
150190012,01/19/2015,02:14 AM,7,AGGRAVATED ASSAULT,,,,,5151 N 87TH ST #2
150190019,01/19/2015,12:30 AM,7,AGGRAVATED ASSAULT,,,,,4302 N 63RD ST
150190031,01/19/2015,07:48 AM,7,MOTOR VEHICLE THEFT,,,,,4838 N 72ND ST
150190039,01/19/2015,09:16 AM,4,BURGLARY/BREAKING AND ENTERING,,,,,7723 W BENDER AV #4
150190043,01/19/2015,10:06 AM,7,MOTOR VEHICLE THEFT,,,,,6212 W HAMPTON AV
150190064,01/19/2015,01:07 PM,4,THEFT FROM MOTOR VEHICLE,THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES,,,,5341 N 54TH ST
150190075,01/19/2015,02:20 PM,7,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,,,,,3924 N 60TH ST
150190091,01/19/2015,02:46 PM,7,ROBBERY,,,,,8301 W VILLARD AV
150190106,01/19/2015,03:45 PM,4,ROBBERY,,,,,7003 W FLORIST AV
150190138,01/19/2015,06:25 PM,4,BURGLARY/BREAKING AND ENTERING,,,,,8040 W MEDFORD AV
150190167,01/19/2015,03:06 PM,4,AGGRAVATED ASSAULT,,,,,9241 W BIRCH AV #4
