INCIDENT_N,CDATE,CTIME,POLICE_DISTRICT,OFFENSE1,OFFENSE2,OFFENSE3,OFFENSE4,OFFENSE5,LOCATION
150310012,01/31/2015,02:31 AM,1,SIMPLE ASSAULT,,,,,1122 N EDISON ST
150310021,01/31/2015,04:44 AM,1,BURGLARY/BREAKING AND ENTERING,,,,,509 W WISCONSIN AV
150310026,01/31/2015,06:29 AM,3,INTIMIDATION,,,,,3019 W ST PAUL AV
150310068,01/31/2015,01:59 PM,1,THEFT FROM MOTOR VEHICLE,,,,,1198 E MICHIGAN AVE
150310075,01/31/2015,03:53 PM,1,THEFT FROM BUILDING,,,,,795 N JEFFERSON ST
150310101,01/31/2015,06:47 PM,3,THEFT FROM MOTOR VEHICLE,,,,,2111 W WISCONSIN AV
150310118,01/31/2015,08:02 PM,1,ROBBERY,,,,,1036 W JUNEAU AV
150300026,01/30/2015,04:08 AM,3,AGGRAVATED ASSAULT,,,,,2050 W VLIET ST
150300074,01/30/2015,10:53 AM,3,AGGRAVATED ASSAULT,,,,,2300 W HIGHLAND AV
150300132,01/30/2015,08:53 PM,1,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,,,,,920 N WATER ST
150300133,01/30/2015,09:52 PM,1,THEFT FROM BUILDING,,,,,1103 N OLD WORLD THIRD ST
150300137,01/30/2015,10:48 PM,3,AGGRAVATED ASSAULT,,,,,1525 N 24TH ST #225
150290018,01/29/2015,12:29 AM,3,AGGRAVATED ASSAULT,,,,,1124 N 35TH ST
150290035,01/29/2015,07:52 AM,3,THEFT FROM MOTOR VEHICLE,,,,,3027 W CLYBOURN ST
150290105,01/29/2015,04:24 PM,3,AGGRAVATED ASSAULT,,,,,839 N 27TH ST
150290141,01/29/2015,07:56 PM,3,INTIMIDATION,,,,,801 N 27TH ST
150280011,01/28/2015,01:27 AM,3,THEFT FROM BUILDING,,,,,3035 W WISCONSIN AV
150280029,01/28/2015,08:48 AM,3,THEFT FROM MOTOR VEHICLE,,,,,2700 W WISCONSIN AV
150280036,01/28/2015,08:49 AM,3,AGGRAVATED ASSAULT,,,,,402 N 28TH ST
150280070,01/28/2015,02:11 PM,1,INTIMIDATION,,,,,1015 N 10TH ST
150270019,01/27/2015,03:40 AM,3,ALL OTHER LARCENY,,,,,1202 W HIGHLAND AV
150270075,01/27/2015,01:23 PM,1,THEFT FROM MOTOR VEHICLE,,,,,750 N LINCOLN MEMORIAL DR
150270076,01/27/2015,01:24 PM,1,MOTOR VEHICLE THEFT,,,,,500 N 5TH ST
150270084,01/27/2015,01:55 PM,3,MOTOR VEHICLE THEFT,,,,,2900 W KILBOURN AV
150270086,01/27/2015,12:13 PM,3,ROBBERY,,,,,960 N 12TH ST
150270106,01/27/2015,03:45 PM,3,THEFT FROM BUILDING,,,,,3118 W WELLS ST
150270152,01/27/2015,09:38 PM,3,AGGRAVATED ASSAULT,,,,,2912 W WELLS ST #507
150270161,01/27/2015,10:41 PM,3,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,,,,,2509 W MC KINLEY AV
150260010,01/26/2015,02:21 AM,3,SIMPLE ASSAULT,,,,,2725 W KILBOURN AV #302
150260025,01/26/2015,07:19 AM,3,THEFT FROM MOTOR VEHICLE,THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES,,,,2932 W MC KINLEY BL
150260026,01/26/2015,08:11 AM,1,THEFT FROM MOTOR VEHICLE,THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES,,,,603 N 4TH ST
150260035,01/26/2015,07:37 AM,3,AGGRAVATED ASSAULT,,,,,1949 W KNEELAND ST
150260037,01/26/2015,09:57 AM,3,THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES,,,,,540 N 31ST ST
150260052,01/26/2015,09:45 AM,1,THEFT FROM BUILDING,,,,,310 W WISCONSIN AV
150260067,01/26/2015,10:31 AM,3,BURGLARY/BREAKING AND ENTERING,,,,,3306 W MC KINLEY BL
150260069,01/26/2015,01:18 PM,3,MOTOR VEHICLE THEFT,,,,,3123 W CLYBOURN ST
150260121,01/26/2015,07:01 PM,3,ROBBERY,,,,,1128 N 20TH ST
150260140,01/26/2015,09:40 PM,1,POCKET PICKING,,,,,1135 N WATER ST
150190032,01/25/2015,09:34 AM,1,THEFT FROM BUILDING,,,,,735 N WATER ST
150250017,01/25/2015,01:19 AM,3,ROBBERY,,,,,2725 W VLIET ST
150250019,01/25/2015,02:51 AM,1,THEFT FROM MOTOR VEHICLE,,,,,1000 N OLD WORLD THIRD ST
150250027,01/25/2015,03:46 AM,3,AGGRAVATED ASSAULT,,,,,811 N 14TH ST #510
150250041,01/25/2015,09:59 AM,1,THEFT FROM BUILDING,,,,,346 N BROADWAY
150250048,01/25/2015,12:10 AM,3,FORCIBLE RAPE,,,,,
150250074,01/25/2015,01:07 PM,3,SIMPLE ASSAULT,,,,,2900 W HIGHLAND BL #205
150250091,01/25/2015,04:57 PM,3,ROBBERY,,,,,625 N 25TH ST
150250132,01/25/2015,10:23 PM,1,THEFT FROM MOTOR VEHICLE,,,,,901 W WINNEBAGO ST
150250135,01/25/2015,10:53 PM,3,THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES,,,,,1322 N 29TH ST
150250143,01/25/2015,10:29 PM,1,THEFT FROM MOTOR VEHICLE,,,,,901 W WINNEBAGO ST #129
150240020,01/24/2015,02:15 AM,1,THEFT FROM MOTOR VEHICLE,,,,,1008 N EDISON ST
150240082,01/24/2015,11:52 AM,1,ROBBERY,,,,,827 W WISCONSIN AV
