Cluster;White;Black or African American;American Indian or Alaskan Native;Asian;Native Hawaiian or other Pacific Islander;Multiple Race;Other Race;TN;FP;FN;TP
Euclidean-0;0.8751190602180124;0.02910360884749709;0.008678167001799133;0.01873214096729813;0.00010583130489998942;0.03884008889829611;0.029421102762197057;583;2;103;10
Geodesic-0;0.7485380116959064;0.04294906817216051;0.012960602197535361;0.027094842064792894;0.0005463485703879075;0.12848297213622292;0.03942815516299399;583;2;103;10
Euclidean-1;0.26308111433342124;0.6384450889064651;0.004493657907841931;0.04732108855494039;0.0003749597211237074;0.013135307730614875;0.03314878284559276;436;33;0;229
Geodesic-1;0.2716033342678766;0.6232673910516346;0.004540512448799568;0.05307065830592386;0.0004171253906276711;0.01348477492324209;0.033616203611895594;436;33;0;229
Euclidean-2;0.5863688989092681;0.10350984096033149;0.015154469563097923;0.029151179087197613;0.0005484126500517945;0.21964535981963318;0.04562183901041984;422;103;28;145
Geodesic-2;0.49905659500506555;0.19338408201581947;0.01361663367072842;0.03815445816951547;0.0005112046770580636;0.21237301211090354;0.04290401435090948;422;103;28;145
Euclidean-3;0.32918514595882703;0.59367842721917;0.003991527106639307;0.0320977030515655;0.00029787515721188854;0.016019064010061562;0.02473025749652479;489;26;33;150
Geodesic-3;0.26022891550285815;0.6732715288001168;0.004045146487353944;0.020610352922452554;0.00021883579357816416;0.015132826695314261;0.026492393798326238;489;26;33;150
