Cluster;White;Black or African American;American Indian or Alaskan Native;Asian;Native Hawaiian or other Pacific Islander;Multiple Race;Other Race;TN;FP;FN;TP
Euclidean-0;0.4122117727276507;0.5078454361763165;0.004298983045210002;0.031689408869043166;0.00035755564979502916;0.0183018601209037;0.0252949834110809;578;16;7;153
Geodesic-0;0.4142102751967135;0.49406018260187456;0.004617611619237083;0.03977130287812255;0.0003558229619026824;0.020815643271306923;0.026169161470842733;578;16;7;153
Euclidean-1;0.26227488707690505;0.6094474101014842;0.00435560509180501;0.07441191998592128;0.00048395612131166776;0.013316126004575586;0.0357100956179973;628;5;9;112
Geodesic-1;0.2526897091352303;0.62000993123373;0.0043486765878688475;0.07445415832794137;0.000481514362670599;0.013271739621108386;0.034744270731450415;628;5;9;112
Euclidean-2;0.24188151516451462;0.6800080076644789;0.004554359172350679;0.029978693892725894;0.0002359401141092188;0.012662119457194743;0.030679364534626;520;16;18;200
Geodesic-2;0.21452636051840834;0.7163019394785565;0.004120253740856527;0.02397790390627371;0.0002276383282241175;0.011070810695966249;0.02977509333171457;520;16;18;200
Euclidean-3;0.6290208162450952;0.07914717683832495;0.01471435855372542;0.027300538695160612;0.0005375867343545634;0.20545234875523732;0.04382717417810193;495;4;7;248
Geodesic-3;0.6389440296897251;0.0733989988348509;0.01473697838001122;0.026571872437750832;0.0005232382514132828;0.20188365770508782;0.04394122470116083;495;4;7;248
