"Track Block",White,"Black or African American","American Indian and Ala Native",Asian,"Native Hawaiian/other Pac Isl","Multiple Race","Other Race",Total
0033001009,18,13,0,0,0,0,0,31
0033002004,40,40,0,0,0,0,2,82
0033002009,59,25,1,6,0,0,0,91
0033004006,74,17,0,2,0,5,0,98
0033005002,97,5,1,0,0,1,0,104
0033005003,54,8,0,3,0,2,0,67
0033006005,77,16,0,8,0,1,1,103
0033006007,64,131,0,0,0,2,9,206
0033001001,22,69,1,12,0,0,6,110
0033001002,48,26,1,1,0,5,1,82
0033001003,40,28,0,10,0,0,0,78
0033001006,48,52,0,15,0,0,0,115
0033003005,66,55,0,0,0,3,0,124
0033004002,69,89,2,0,0,13,8,181
0033002000,53,42,0,14,0,7,0,116
0033002002,41,48,4,12,0,1,1,107
0033002003,36,18,0,0,0,11,0,65
0033003009,73,57,1,11,0,4,2,148
0033006006,59,56,3,0,0,5,3,126
0033001000,92,180,0,3,0,10,2,287
0033002007,35,22,0,0,0,0,0,57
0033003000,44,27,0,3,0,2,0,76
0033006000,16,84,0,10,0,3,0,113
0033001004,37,29,0,0,0,0,0,66
0033001008,20,18,0,0,0,2,0,40
0033003002,28,29,0,0,0,2,0,59
0033003008,46,42,3,0,0,1,0,92
0033006001,40,15,1,0,0,0,4,60
0033002005,80,25,0,2,0,4,0,111
0033002006,31,32,0,2,0,0,2,67
0033003001,33,43,0,2,0,8,0,86
0033003006,60,37,0,9,0,8,3,117
0033004001,62,150,0,18,0,11,1,242
0033004005,84,21,1,7,0,2,0,115
0033004007,33,42,0,0,0,7,0,82
0033005006,55,45,0,8,0,4,0,112
0033006002,48,8,0,5,0,0,0,61
0033001007,44,14,0,14,0,0,1,73
0033003004,40,16,0,2,0,3,0,61
0033003007,20,2,0,0,0,2,1,25
0033004004,26,0,0,0,0,2,2,30
0033005000,39,25,1,0,0,2,0,67
0033005004,58,9,0,0,0,0,0,67
0033005005,89,76,0,13,0,5,0,183
0033006004,40,10,0,0,0,0,0,50
0033001005,56,44,0,0,0,0,2,102
0033002001,20,10,0,0,0,1,0,31
0033002008,61,15,0,0,0,0,0,76
0033003003,20,18,0,0,0,0,1,39
0033004000,37,58,0,4,0,0,4,103
0033004003,53,29,0,0,0,6,0,88
0033005001,15,7,0,0,0,0,0,22
0033006003,52,13,0,0,0,0,0,65
,,,,,,,,
"Total Records: 54",,,,,,,,
"Census Tract: 3300",,,,,,,,
