"Track Block",White,"Black or African American","American Indian and Ala Native",Asian,"Native Hawaiian/other Pac Isl","Multiple Race","Other Race",Total
0207006002,77,0,0,1,0,1,0,79
0207006008,46,0,0,0,0,0,0,46
0207001003,69,0,2,0,0,2,0,73
0207002006,66,1,2,4,0,0,0,73
0207003001,59,0,4,0,0,3,0,66
0207003011,49,0,0,1,0,0,0,50
0207003013,42,0,1,0,0,1,1,45
0207003015,22,0,0,0,0,0,0,22
0207004004,111,0,0,0,0,1,0,112
0207006010,25,0,1,0,0,0,0,26
0207005002,53,0,0,0,0,0,0,53
0207005006,85,0,0,1,0,0,0,86
0207006005,77,0,0,0,0,0,0,77
0207001008,56,0,0,0,0,0,2,58
0207002002,24,0,0,2,0,0,0,26
0207005001,61,0,0,0,0,0,0,61
0207006006,64,0,0,0,0,0,0,64
0207006007,133,2,3,0,0,3,2,143
0207001005,131,0,1,0,0,2,3,137
0207001006,67,0,0,0,0,0,0,67
0207002000,70,0,4,0,0,0,2,76
0207003003,61,0,0,0,0,0,0,61
0207003005,55,1,1,0,0,0,0,57
0207003008,47,2,0,0,0,1,0,50
0207003009,40,2,0,1,0,1,0,44
0207004007,59,0,2,0,0,3,0,64
0207006001,70,0,0,0,0,1,0,71
0207006004,65,0,2,1,0,1,3,72
0207001002,80,1,0,0,0,0,6,87
0207001009,42,0,1,0,0,1,0,44
0207002004,92,0,2,0,0,0,3,97
0207003000,45,0,1,1,0,3,0,50
0207003004,124,2,1,0,0,0,0,127
0207004008,30,0,0,0,0,0,0,30
0207005005,94,0,0,0,0,1,0,95
0207006003,63,0,0,0,0,0,2,65
0207006009,33,1,0,0,0,0,0,34
0207001007,67,0,1,0,0,0,4,72
0207001011,16,0,1,0,0,0,0,17
0207002003,38,0,2,0,0,3,0,43
0207002005,82,0,0,0,0,0,0,82
0207003007,0,0,0,0,0,0,0,0
0207003016,34,0,0,0,0,0,0,34
0207004000,90,2,0,0,0,1,0,93
0207005000,40,0,1,3,0,0,0,44
0207001000,37,0,2,3,0,0,0,42
0207005003,48,0,0,2,0,0,1,51
0207002001,274,2,1,0,0,10,0,287
0207003006,72,0,0,0,0,0,1,73
0207003010,40,0,2,0,0,0,0,42
0207004002,71,0,0,0,0,0,0,71
0207004003,59,0,0,0,0,0,0,59
0207004005,92,0,0,1,0,0,0,93
0207004006,69,1,0,0,0,2,0,72
0207004009,32,0,0,0,0,0,3,35
0207001001,61,0,2,0,0,1,5,69
0207005004,104,0,0,0,0,0,0,104
0207005007,111,4,0,0,0,4,1,120
0207006000,93,0,2,0,0,2,6,103
0207001004,79,5,0,8,0,0,0,92
0207001010,14,0,0,0,0,0,2,16
0207002007,16,0,0,0,0,1,0,17
0207003002,73,1,3,0,0,2,0,79
0207003012,50,0,0,0,0,0,3,53
0207003014,62,0,0,0,0,0,0,62
0207004001,70,0,2,0,0,0,0,72
,,,,,,,,
"Total Records: 67",,,,,,,,
"Census Tract: 20700",,,,,,,,
