"Track Block",White,"Black or African American","American Indian and Ala Native",Asian,"Native Hawaiian/other Pac Isl","Multiple Race","Other Race",Total
0173001005,106,0,16,0,0,8,30,160
0173001007,66,1,5,15,0,13,6,106
0173002008,0,7,0,0,0,0,12,19
0173002009,5,0,0,0,0,0,0,5
0173003009,4,0,2,0,0,0,0,6
0173001004,82,3,2,0,0,9,44,140
0173002004,101,1,3,0,0,2,28,135
0173003000,69,9,3,14,0,11,42,148
0173003007,47,4,2,0,0,7,16,76
0173001001,59,0,7,6,0,0,57,129
0173001006,94,1,2,8,0,7,30,142
0173002005,80,11,6,0,0,8,38,143
0173003002,104,5,7,11,0,7,69,203
0173001002,0,0,0,0,0,0,0,0
0173002000,69,0,4,0,0,9,57,139
0173002001,106,2,14,1,0,11,26,160
0173001000,81,9,6,0,0,7,26,129
0173001003,100,1,0,17,0,0,19,137
0173002003,73,5,8,0,0,6,43,135
0173002002,82,0,6,0,0,7,33,128
0173003003,59,8,9,8,0,11,32,127
0173003005,93,9,7,12,0,12,26,159
0173002006,77,9,24,0,0,6,18,134
0173002007,0,0,0,0,0,0,0,0
0173003001,103,5,18,0,0,27,87,240
0173003004,91,4,2,18,0,10,51,176
0173003006,62,6,11,0,0,6,41,126
0173003008,108,1,6,12,0,21,22,170
,,,,,,,,
"Total Records: 29",,,,,,,,
"Census Tract: 17300",,,,,,,,
