"Track Block",White,"Black or African American","American Indian and Ala Native",Asian,"Native Hawaiian/other Pac Isl","Multiple Race","Other Race",Total
0183003003,111,2,1,3,0,5,10,132
0183003005,72,1,0,0,0,2,0,75
0183001001,96,0,2,0,0,0,4,102
0183002007,62,0,1,0,0,4,0,67
0183003001,44,0,3,10,0,0,0,57
0183003007,85,5,2,0,0,2,3,97
0183003008,83,0,0,0,0,1,2,86
0183001010,49,0,1,0,0,0,0,50
0183002009,50,0,1,1,0,0,3,55
0183001002,84,0,8,0,0,5,11,108
0183001004,158,3,11,4,0,3,10,189
0183001011,7,0,0,0,0,0,0,7
0183002000,44,0,0,0,0,0,0,44
0183002001,62,0,0,0,0,0,0,62
0183002003,71,1,0,0,0,1,0,73
0183002004,77,0,1,0,0,1,0,79
0183002005,98,0,5,0,0,0,0,103
0183002006,92,0,1,0,0,4,3,100
0183002010,39,0,0,0,0,0,3,42
0183003004,24,2,0,0,0,0,0,26
0183003009,50,0,3,0,0,0,0,53
0183001005,42,0,0,1,0,1,0,44
0183001006,91,0,1,0,0,0,0,92
0183001007,73,1,0,0,0,0,1,75
0183002008,67,0,0,1,0,0,0,68
0183002002,74,0,2,0,0,2,2,80
0183003006,59,14,0,0,0,5,0,78
0183001000,113,0,0,1,0,0,2,116
0183001008,64,0,2,0,0,3,5,74
0183003000,25,0,0,0,0,0,0,25
0183003002,100,0,0,1,0,0,0,101
,,,,,,,,
"Total Records: 32",,,,,,,,
"Census Tract: 18300",,,,,,,,
