"Track Block",White,"Black or African American","American Indian and Ala Native",Asian,"Native Hawaiian/other Pac Isl","Multiple Race","Other Race",Total
0047001006,6,146,1,0,0,1,1,155
0047001007,0,59,0,0,0,0,0,59
0047001009,1,140,0,0,0,3,0,144
0047003004,3,119,0,0,0,2,0,124
0047003006,2,152,0,0,0,0,0,154
0047004005,0,0,0,0,0,0,0,0
0047002001,11,108,0,0,0,1,0,120
0047002007,0,99,0,0,0,0,0,99
0047004003,7,92,0,0,0,0,0,99
0047004004,0,47,0,0,0,0,0,47
0047004010,1,95,0,0,0,2,0,98
0047004013,0,0,0,0,0,0,0,0
0047003000,0,130,0,0,0,5,2,137
0047003009,2,146,0,0,0,0,0,148
0047004001,3,121,0,0,0,0,0,124
0047004009,0,89,0,0,0,0,4,93
0047001008,0,94,0,0,0,0,2,96
0047002003,0,131,0,0,0,1,0,132
0047002006,0,83,0,0,0,0,0,83
0047003005,0,170,1,0,0,0,0,171
0047003008,0,102,0,0,0,5,0,107
0047003010,4,176,8,0,0,3,0,191
0047004007,0,0,0,0,0,0,0,0
0047004015,0,163,0,0,0,7,0,170
0047001002,1,52,0,0,0,0,0,53
0047001005,1,58,0,11,0,3,0,73
0047002000,1,118,0,0,0,0,0,119
0047002005,0,0,0,0,0,0,0,0
0047003001,2,125,0,0,0,0,0,127
0047004006,0,2,0,0,0,0,0,2
0047004012,2,84,0,0,0,0,0,86
0047004016,3,169,0,0,0,4,0,176
0047001000,0,66,0,0,0,1,0,67
0047001001,0,14,0,0,0,0,0,14
0047004002,6,141,0,0,0,2,0,149
0047001010,0,130,0,0,0,8,0,138
0047002002,1,100,0,0,0,5,0,106
0047003002,0,104,0,0,0,1,0,105
0047003003,3,109,0,0,0,0,0,112
0047003007,2,94,0,0,0,0,0,96
0047004014,0,66,0,6,0,0,0,72
0047001003,0,11,0,0,0,0,0,11
0047001004,0,5,0,0,0,0,0,5
0047002004,0,81,0,0,0,3,0,84
0047004000,3,116,0,5,0,1,0,125
0047004008,4,46,0,0,0,0,0,50
0047004011,0,86,0,1,0,0,0,87
,,,,,,,,
"Total Records: 48",,,,,,,,
"Census Tract: 4700",,,,,,,,
