"Track Block",White,"Black or African American","American Indian and Ala Native",Asian,"Native Hawaiian/other Pac Isl","Multiple Race","Other Race",Total
0005021001,254,137,0,1,2,14,0,408
0005022003,0,0,0,0,0,0,0,0
0005022004,0,0,0,0,0,0,0,0
0005022005,0,0,0,0,0,0,0,0
0005022010,53,56,4,1,0,0,0,114
0005022018,0,0,0,0,0,0,0,0
0005022021,23,7,0,0,0,0,0,30
0005022024,122,65,1,4,0,10,2,204
0005023002,19,18,0,0,0,0,6,43
0005023005,24,164,0,0,0,2,6,196
0005022006,15,36,0,0,0,2,2,55
0005022008,61,40,1,2,0,0,5,109
0005022009,80,3,0,10,0,5,2,100
0005022020,8,2,0,0,0,0,0,10
0005022023,33,42,0,2,0,5,0,82
0005022011,41,476,0,3,0,28,4,552
0005022014,32,57,1,0,0,4,4,98
0005022015,24,22,0,12,0,3,2,63
0005022019,41,24,0,0,0,0,0,65
0005022022,0,0,0,0,0,0,0,0
0005023004,239,109,0,3,0,1,5,357
0005021002,222,132,1,10,0,21,0,386
0005021003,80,143,1,8,0,6,23,261
0005022000,0,0,0,0,0,0,0,0
0005022013,47,48,0,2,0,0,0,97
0005022017,46,28,0,8,0,0,3,85
0005023000,31,263,3,0,0,7,2,306
0005023001,46,326,1,0,0,17,1,391
0005023003,0,0,0,0,0,0,0,0
0005022007,52,81,1,1,0,3,0,138
0005023006,82,343,1,5,0,6,16,453
0005021000,42,17,0,0,0,0,0,59
0005021004,45,22,0,2,0,0,4,73
0005022001,0,0,0,0,0,0,0,0
0005022002,0,0,0,0,0,0,0,0
0005022012,44,95,0,13,0,1,1,154
0005022016,54,33,2,4,0,3,1,97
,,,,,,,,
"Total Records: 38",,,,,,,,
"Census Tract: 502",,,,,,,,
