"Track Block",White,"Black or African American","American Indian and Ala Native",Asian,"Native Hawaiian/other Pac Isl","Multiple Race","Other Race",Total
0076001001,38,0,0,0,0,0,0,38
0076002006,152,3,2,6,0,0,2,165
0076003002,0,0,0,0,0,0,0,0
0076001002,73,5,0,3,0,1,1,83
0076001005,177,4,1,0,0,2,0,184
0076003009,118,0,0,0,0,1,0,119
0076001000,65,3,0,0,0,1,0,69
0076002005,86,0,0,7,0,1,0,94
0076003008,0,0,0,0,0,0,0,0
0076001003,50,0,0,2,0,0,2,54
0076002003,122,2,0,6,0,3,0,133
0076003000,53,2,0,10,0,0,0,65
0076003011,37,0,0,0,0,0,1,38
0076001004,30,0,0,0,0,0,0,30
0076002004,15,2,0,0,0,0,0,17
0076002007,109,0,0,2,0,2,0,113
0076003004,0,0,0,0,0,0,0,0
0076003006,263,7,1,19,0,7,1,298
0076003007,137,3,0,2,0,3,0,145
0076003010,0,0,0,0,0,0,0,0
0076001007,140,5,0,11,0,1,3,160
0076002001,64,1,0,0,0,0,0,65
0076002002,194,3,0,2,0,5,0,204
0076003001,71,5,0,1,0,0,0,77
0076001006,50,4,0,3,0,3,0,60
0076003003,452,5,1,6,0,6,1,471
0076003005,211,12,0,6,0,5,6,240
0076001008,173,7,0,25,0,5,3,213
0076002000,0,0,0,0,0,0,0,0
,,,,,,,,
"Total Records: 30",,,,,,,,
"Census Tract: 7600",,,,,,,,
