"Track Block",White,"Black or African American","American Indian and Ala Native",Asian,"Native Hawaiian/other Pac Isl","Multiple Race","Other Race",Total
0127001004,52,1,0,2,0,3,0,58
0127001005,11,0,0,0,0,1,0,12
0127001007,63,2,0,2,0,1,0,68
0127001008,87,0,1,0,0,3,0,91
0127001011,35,0,0,0,0,0,1,36
0127001026,0,0,0,0,0,0,0,0
0127001006,50,0,0,0,0,1,3,54
0127001015,54,0,0,0,0,0,0,54
0127001025,0,0,0,0,0,0,0,0
0127001001,25,0,0,0,0,0,0,25
0127001003,5,0,0,0,0,0,0,5
0127001009,1,0,0,0,0,0,0,1
0127001018,35,0,0,0,0,0,0,35
0127001022,0,0,0,0,0,0,0,0
0127001014,52,0,0,0,0,0,0,52
0127001021,28,3,1,0,0,0,0,32
0127001002,157,0,0,0,0,0,0,157
0127001010,27,0,0,0,0,0,0,27
0127001016,69,0,0,0,0,0,0,69
0127001017,55,0,0,0,0,0,0,55
0127001023,0,0,0,0,0,0,0,0
0127001013,29,0,0,0,0,0,0,29
0127001019,75,1,0,0,0,0,0,76
0127001020,0,0,0,0,0,0,0,0
0127001024,0,0,0,0,0,0,0,0
0127001027,0,0,0,0,0,0,0,0
0127001000,18,0,0,0,0,1,1,20
0127001012,192,1,2,0,0,0,1,196
,,,,,,,,
"Total Records: 29",,,,,,,,
"Census Tract: 12700",,,,,,,,
