"Track Block",White,"Black or African American","American Indian and Ala Native",Asian,"Native Hawaiian/other Pac Isl","Multiple Race","Other Race",Total
0147001002,32,90,10,6,0,2,4,144
0147002002,3,30,3,3,0,2,1,42
0147001004,192,5,0,1,0,1,1,200
0147002000,300,11,1,54,0,11,1,378
0147002001,79,2,2,9,4,3,8,107
0147002003,39,12,0,0,0,0,0,51
0147002004,338,24,0,39,0,11,13,425
0147002005,151,36,0,8,0,0,3,198
0147001001,16,357,0,0,1,9,6,389
0147001005,9,22,0,0,0,0,0,31
0147001003,207,34,5,27,0,3,17,293
0147001006,137,81,0,0,0,0,3,221
0147001000,0,0,0,0,0,0,0,0
0147002006,164,40,4,12,2,6,8,236
,,,,,,,,
"Total Records: 15",,,,,,,,
"Census Tract: 14700",,,,,,,,
