"Track Block",White,"Black or African American","American Indian and Ala Native",Asian,"Native Hawaiian/other Pac Isl","Multiple Race","Other Race",Total
0124002002,277,14,5,4,1,14,10,325
0124002006,63,2,0,0,0,1,0,66
0124002010,7,0,0,1,0,0,0,8
0124002020,1,0,0,0,0,0,2,3
0124001005,73,39,0,20,0,7,1,140
0124002000,0,0,0,0,0,0,0,0
0124002022,0,1,0,0,0,0,0,1
0124001009,66,29,0,18,0,0,0,113
0124001013,3,3,0,1,0,0,4,11
0124001002,53,148,7,36,0,8,3,255
0124001010,26,19,2,0,0,3,1,51
0124001011,27,32,2,1,0,2,4,68
0124001014,0,0,0,0,0,0,0,0
0124002007,82,0,0,4,0,0,0,86
0124002013,0,0,0,0,0,0,0,0
0124002016,0,0,0,0,0,0,0,0
0124001012,91,33,1,28,0,6,0,159
0124002008,107,0,4,0,0,2,0,113
0124002009,69,0,0,1,0,3,0,73
0124002018,0,0,0,0,0,0,0,0
0124002019,57,3,1,0,0,11,0,72
0124001001,107,96,0,12,0,11,0,226
0124001007,35,49,0,0,0,9,0,93
0124001008,45,40,4,10,0,4,0,103
0124002005,78,23,0,0,0,0,0,101
0124002011,0,0,0,0,0,0,0,0
0124002014,0,0,0,0,0,0,0,0
0124001000,65,61,0,8,0,22,0,156
0124001006,0,0,0,0,0,0,0,0
0124002004,54,5,0,0,0,0,0,59
0124001003,63,66,4,46,0,8,0,187
0124001004,130,47,1,0,1,4,2,185
0124002012,0,0,0,0,0,0,0,0
,,,,,,,,
"Total Records: 34",,,,,,,,
"Census Tract: 12400",,,,,,,,
