Incident Number;Date;Time;Police District;Offense 1;Offense 2;Offense 3;Offense 4;Location
062120011;07/31/2006;12:07 AM;7.0;MOTOR VEHICLE THEFT;;;;4947 N 25TH ST
062120014;07/31/2006;12:07 AM;7.0;MOTOR VEHICLE THEFT;;;;3922 W STARK ST
062120044;07/31/2006;05:45 AM;7.0;MOTOR VEHICLE THEFT;;;;4238 N 22ND ST
062120046;07/31/2006;06:19 AM;7.0;SHOPLIFTING;;;;3800 W HAMPTON AV
062120049;07/31/2006;06:19 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;4517 N TEUTONIA AV
062120055;07/31/2006;07:22 AM;4.0;SIMPLE ASSAULT;;;;6973 N 37TH ST
062120080;07/31/2006;09:06 AM;4.0;THEFT FROM MOTOR VEHICLE;;;;5717 N 40TH ST
062120093;07/31/2006;07:26 AM;4.0;BURGLARY/BREAKING AND ENTERING;;;;5721 N 40TH ST
062120094;07/31/2006;07:26 AM;4.0;THEFT FROM MOTOR VEHICLE;;;;5717 N 40TH ST
062120106;07/31/2006;10:37 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;3400 W HAMPTON AV
062120130;07/31/2006;09:18 AM;4.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;5277 N 38TH ST
062120133;07/31/2006;10:44 AM;4.0;MOTOR VEHICLE THEFT;;;;4008 W GOOD HOPE RD #C
062120145;07/31/2006;12:38 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;4276 N 27TH ST
062120151;07/31/2006;09:21 AM;7.0;MOTOR VEHICLE THEFT;;;;4661 N 27TH ST
062120159;07/31/2006;01:07 PM;4.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;3528 W VILLARD AV
062120185;07/31/2006;02:50 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;2222 W CAPITOL DR
062120215;07/31/2006;04:07 PM;4.0;SIMPLE ASSAULT;;;;5512 N 31ST ST #APT8
062120233;07/31/2006;03:21 PM;7.0;AGGRAVATED ASSAULT;;;;4927 W LUSCHER AV
062110050;07/30/2006;07:01 AM;7.0;MOTOR VEHICLE THEFT;;;;4873 N 24TH ST
062110054;07/30/2006;07:14 AM;7.0;MOTOR VEHICLE THEFT;;;;4937 N 38TH ST
062110057;07/30/2006;08:19 AM;4.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;5739 N 32ND ST
062110058;07/30/2006;06:39 AM;7.0;MOTOR VEHICLE THEFT;;;;5121 N 19TH PL
062110086;07/30/2006;11:30 AM;7.0;MOTOR VEHICLE THEFT;;;;4122 N 27TH ST
062110087;07/30/2006;10:49 AM;7.0;BURGLARY/BREAKING AND ENTERING;;;;3008 W CAPITOL DR
062110115;07/30/2006;02:24 PM;4.0;SIMPLE ASSAULT;;;;1739 W CUSTER AV
062110143;07/30/2006;04:13 PM;4.0;SIMPLE ASSAULT;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;5773 N 32ND ST
062110155;07/30/2006;06:00 PM;7.0;SIMPLE ASSAULT;;;;4814 W HAMPTON AV
062110168;07/30/2006;07:36 PM;7.0;DISORDERLY CONDUCT;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;3819 W FAIRMOUNT AV
062110203;07/30/2006;11:10 PM;7.0;THEFT FROM MOTOR VEHICLE;;;;4923 N TEUTONIA AV #4
062100005;07/29/2006;12:19 AM;7.0;SIMPLE ASSAULT;LIQUOR LAW VIOLATIONS;;;4244 N TEUTONIA AV #2
062100025;07/29/2006;02:52 AM;4.0;SIMPLE ASSAULT;;;;7123 N 40TH ST
062100045;07/29/2006;02:37 AM;7.0;MOTOR VEHICLE THEFT;;;;5063 N 26TH ST
062100048;07/29/2006;05:44 AM;4.0;MOTOR VEHICLE THEFT;;;;5411 N 35TH ST
062100051;07/29/2006;03:57 AM;7.0;BURGLARY/BREAKING AND ENTERING;;;;4127 N 26TH ST
062100057;07/29/2006;02:51 AM;4.0;MOTOR VEHICLE THEFT;;;;5426 N 41ST ST
062100064;07/29/2006;07:33 AM;7.0;ALL OTHER LARCENY;;;;4519 N 28TH ST
062100067;07/29/2006;08:32 AM;7.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;5119 N 31ST ST
062100071;07/29/2006;08:39 AM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;6945 N TEUTONIA AV
062100083;07/29/2006;08:05 AM;7.0;MOTOR VEHICLE THEFT;;;;4808 N 25TH ST
062100084;07/29/2006;09:33 AM;4.0;THEFT FROM MOTOR VEHICLE;;;;6017 N 40TH ST
062100099;07/29/2006;10:32 AM;7.0;MOTOR VEHICLE THEFT;;;;5022 N SHERMAN BL
062100102;07/29/2006;10:46 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;2925 W FAIRMOUNT AV
062100105;07/29/2006;07:34 AM;4.0;MOTOR VEHICLE THEFT;;;;3430 W CUSTER AV
062100116;07/29/2006;11:45 AM;5.0;ALL OTHER LARCENY;;;;1400 W OLIVE ST
062100162;07/29/2006;12:46 PM;4.0;ALL OTHER LARCENY;;;;5301 N 37TH ST
062100169;07/29/2006;11:29 AM;4.0;AGGRAVATED ASSAULT;;;;5769 N TEUTONIA AV #3
062100172;07/29/2006;05:29 PM;7.0;ALL OTHER LARCENY;;;;4000 N TEUTONIA AV
062100186;07/29/2006;06:44 PM;4.0;ALL OTHER LARCENY;;;;5239 N 36TH ST
062110001;07/29/2006;10:40 PM;7.0;AGGRAVATED ASSAULT;;;;4559 N 29TH ST
062110013;07/29/2006;10:01 PM;4.0;BURGLARY/BREAKING AND ENTERING;;;;5909 N TEUTONIA AV #APT2
062090006;07/28/2006;12:26 AM;4.0;MOTOR VEHICLE THEFT;;;;5863 N 36TH ST
062090054;07/28/2006;09:10 AM;7.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;2200 W CORNELL ST
062090057;07/28/2006;09:48 AM;7.0;MOTOR VEHICLE THEFT;;;;3700 W HAMPTON AV
062090097;07/28/2006;11:23 AM;7.0;ROBBERY;;;;3610 W HAMPTON AV
062090105;07/28/2006;01:03 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;4933 W GOOD HOPE RD
062090159;07/28/2006;03:06 PM;7.0;AGGRAVATED ASSAULT;;;;4201 N 27TH ST
062090174;07/28/2006;01:31 PM;7.0;MOTOR VEHICLE THEFT;;;;4805 N SHERMAN BL
062090207;07/28/2006;07:07 PM;7.0;BURGLARY/BREAKING AND ENTERING;;;;4956 N 27TH ST
062090221;07/28/2006;06:54 PM;7.0;ALL OTHER LARCENY;;;;4844 N 52ND ST
062090228;07/28/2006;09:07 PM;7.0;AGGRAVATED ASSAULT;;;;4963 N 21ST ST
062090235;07/28/2006;10:18 PM;7.0;AGGRAVATED ASSAULT;;;;4909 N 39TH ST
