Cluster;White;Black or African American;American Indian or Alaskan Native;Asian;Native Hawaiian or other Pacific Islander;Multiple Race;Other Race;TN;FP;FN;TP
Euclidean-0;0.607280880646288;0.0967741935483871;0.01490090475814902;0.026618818518810632;0.000507025114644012;0.20983516050161685;0.04408301691210438;323;4;2;187
Geodesic-0;0.6194803503586817;0.08397737502760179;0.014953091117037237;0.026231605886116442;0.000509571450410205;0.2105435994994876;0.04430440666066505;323;4;2;187
Euclidean-1;0.3711845558471598;0.549263822783684;0.004207997864863662;0.031484364574529605;0.0003202704506027312;0.017721631600017794;0.025817356879142387;405;0;15;96
Geodesic-1;0.3485634070686259;0.5646749835850295;0.004211288971403989;0.0386412178021298;0.00032452585263507446;0.018090429506192406;0.02549414721398329;405;0;15;96
Euclidean-2;0.23773386702407043;0.6908336804738014;0.004464528281383008;0.024668103526343434;0.00024450763407168603;0.011863148171626247;0.030192164888703747;355;16;28;117
Geodesic-2;0.23040452238397716;0.6943135884265872;0.004224538795854481;0.028102807241487605;0.00025326971198168355;0.011913807251618393;0.03078746618849345;355;16;28;117
Euclidean-3;0.2628467894270184;0.6117500417625062;0.0044204006630600996;0.07211421081713162;0.000488300073245011;0.012631551894732784;0.0357487053623058;417;28;3;68
Geodesic-3;0.2660276457343007;0.6061108331248436;0.004425193895421566;0.07471228421315987;0.0005316487365524143;0.013009757317988492;0.0351826369777333;417;28;3;68
