GEO.id,GEO.id2,GEO.display-label,HD01_S01,HD02_S01,HD01_S02,HD02_S02,HD01_S03,HD02_S03,HD01_S04,HD02_S04,HD01_S05,HD02_S05,HD01_S06,HD02_S06,HD01_S07,HD02_S07,HD01_S08,HD02_S08,HD01_S09,HD02_S09,HD01_S10,HD02_S10,HD01_S18,HD02_S18,HD01_S23,HD02_S23,HD01_S24,HD02_S24,HD01_S25,HD02_S25,HD01_S26,HD02_S26,HD01_S27,HD02_S27,HD01_S28,HD02_S28,HD01_S29,HD02_S29,HD01_S30,HD02_S30,HD01_S31,HD02_S31,HD01_S32,HD02_S32,HD01_S33,HD02_S33,HD01_S34,HD02_S34,HD01_S35,HD02_S35,HD01_S36,HD02_S36,HD01_S37,HD02_S37,HD01_S38,HD02_S38,HD01_S39,HD02_S39,HD01_S40,HD02_S40,HD01_S41,HD02_S41,HD01_S42,HD02_S42
1400000US55079000501,55079000501,"Census Tract 5.01, Milwaukee County, Wisconsin",3450,100.0,3295,95.5,1687,48.9,1377,39.9,23,0.7,16,0.5,0,0.0,0,0.0,7,0.2,142,4.1,4,0.1,62,1.8,155,4.5,10,0.3,134,3.9,3,0.1,8,0.2,3450,100.0,191,5.5,121,3.5,45,1.3,0,0.0,25,0.7,3259,94.5,3450,100.0,3295,95.5,174,5.0,3121,90.5,155,4.5,17,0.5,138,4.0
1400000US55079000502,55079000502,"Census Tract 5.02, Milwaukee County, Wisconsin",4878,100.0,4673,95.8,816,16.7,3586,73.5,27,0.6,15,0.3,0,0.0,0,0.0,12,0.2,182,3.7,2,0.0,60,1.2,205,4.2,13,0.3,179,3.7,2,0.0,11,0.2,4878,100.0,188,3.9,107,2.2,54,1.1,1,0.0,26,0.5,4690,96.1,4878,100.0,4673,95.8,160,3.3,4513,92.5,205,4.2,28,0.6,177,3.6
1400000US55079000600,55079000600,"Census Tract 6, Milwaukee County, Wisconsin",6290,100.0,6091,96.8,1826,29.0,3404,54.1,16,0.3,12,0.2,0,0.0,0,0.0,4,0.1,776,12.3,1,0.0,68,1.1,199,3.2,15,0.2,161,2.6,1,0.0,22,0.3,6290,100.0,198,3.1,98,1.6,76,1.2,4,0.1,20,0.3,6092,96.9,6290,100.0,6091,96.8,172,2.7,5919,94.1,199,3.2,26,0.4,173,2.8
1400000US55079000700,55079000700,"Census Tract 7, Milwaukee County, Wisconsin",3580,100.0,3469,96.9,1185,33.1,2133,59.6,19,0.5,15,0.4,0,0.0,0,0.0,4,0.1,89,2.5,0,0.0,43,1.2,111,3.1,8,0.2,88,2.5,5,0.1,10,0.3,3580,100.0,107,3.0,55,1.5,35,1.0,0,0.0,17,0.5,3473,97.0,3580,100.0,3469,96.9,101,2.8,3368,94.1,111,3.1,6,0.2,105,2.9
1400000US55079000800,55079000800,"Census Tract 8, Milwaukee County, Wisconsin",5129,100.0,4904,95.6,1290,25.2,3228,62.9,26,0.5,11,0.2,0,0.0,0,0.0,15,0.3,274,5.3,2,0.0,84,1.6,225,4.4,27,0.5,184,3.6,0,0.0,14,0.3,5129,100.0,209,4.1,110,2.1,68,1.3,6,0.1,25,0.5,4920,95.9,5129,100.0,4904,95.6,177,3.5,4727,92.2,225,4.4,32,0.6,193,3.8
1400000US55079000900,55079000900,"Census Tract 9, Milwaukee County, Wisconsin",3694,100.0,3568,96.6,699,18.9,2779,75.2,16,0.4,11,0.3,0,0.0,0,0.0,5,0.1,57,1.5,0,0.0,17,0.5,126,3.4,19,0.5,91,2.5,0,0.0,16,0.4,3694,100.0,119,3.2,43,1.2,64,1.7,0,0.0,12,0.3,3575,96.8,3694,100.0,3568,96.6,83,2.2,3485,94.3,126,3.4,36,1.0,90,2.4
1400000US55079001000,55079001000,"Census Tract 10, Milwaukee County, Wisconsin",3654,100.0,3515,96.2,663,18.1,2716,74.3,28,0.8,8,0.2,0,0.0,0,0.0,20,0.5,68,1.9,0,0.0,40,1.1,139,3.8,22,0.6,95,2.6,0,0.0,22,0.6,3654,100.0,149,4.1,75,2.1,60,1.6,4,0.1,10,0.3,3505,95.9,3654,100.0,3515,96.2,118,3.2,3397,93.0,139,3.8,31,0.8,108,3.0
1400000US55079001100,55079001100,"Census Tract 11, Milwaukee County, Wisconsin",2800,100.0,2722,97.2,327,11.7,2336,83.4,14,0.5,8,0.3,0,0.0,0,0.0,6,0.2,11,0.4,0,0.0,34,1.2,78,2.8,6,0.2,51,1.8,12,0.4,9,0.3,2800,100.0,66,2.4,22,0.8,40,1.4,2,0.1,2,0.1,2734,97.6,2800,100.0,2722,97.2,54,1.9,2668,95.3,78,2.8,12,0.4,66,2.4
1400000US55079001200,55079001200,"Census Tract 12, Milwaukee County, Wisconsin",2985,100.0,2922,97.9,212,7.1,2022,67.7,8,0.3,1,0.0,0,0.0,0,0.0,7,0.2,652,21.8,10,0.3,18,0.6,63,2.1,3,0.1,53,1.8,0,0.0,7,0.2,2985,100.0,47,1.6,21,0.7,17,0.6,0,0.0,9,0.3,2938,98.4,2985,100.0,2922,97.9,43,1.4,2879,96.4,63,2.1,4,0.1,59,2.0
1400000US55079001300,55079001300,"Census Tract 13, Milwaukee County, Wisconsin",3733,100.0,3622,97.0,621,16.6,2551,68.3,15,0.4,8,0.2,0,0.0,0,0.0,7,0.2,388,10.4,0,0.0,47,1.3,111,3.0,10,0.3,89,2.4,4,0.1,8,0.2,3733,100.0,170,4.6,80,2.1,72,1.9,9,0.2,9,0.2,3563,95.4,3733,100.0,3622,97.0,155,4.2,3467,92.9,111,3.0,15,0.4,96,2.6
