Incident Number;Date;Time;Police District;Offense 1;Offense 2;Offense 3;Offense 4;Location
152730066;09/30/2015;12:05 PM;7.0;ROBBERY;BURGLARY/BREAKING AND ENTERING;;;5119 N 31ST ST
152730067;09/30/2015;01:16 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;4922 N 48TH ST
152730085;09/30/2015;02:27 PM;7.0;ALL OTHER LARCENY;;;;5134 N 40TH ST
152730114;09/30/2015;04:58 PM;7.0;AGGRAVATED ASSAULT;;;;5045 N HOPKINS ST #30
152730131;09/30/2015;07:05 PM;7.0;SIMPLE ASSAULT;;;;5075 N SHERMAN BL
152730135;09/30/2015;07:09 PM;5.0;THEFT FROM BUILDING;;;;1801 W OLIVE ST
152730138;09/30/2015;03:21 PM;5.0;BURGLARY/BREAKING AND ENTERING;;;;4614 N 29TH ST
152730175;09/30/2015;09:04 PM;7.0;AGGRAVATED ASSAULT;;;;4820 N 37TH ST
152730180;09/30/2015;10:46 PM;4.0;MOTOR VEHICLE THEFT;;;;3100 W MILL RD
152730187;09/30/2015;11:19 PM;7.0;ROBBERY;;;;4905 N GREEN BAY AV
152730188;09/30/2015;07:54 PM;4.0;ROBBERY;;;;5201 N 35TH ST
152720045;09/29/2015;10:29 AM;4.0;SIMPLE ASSAULT;;;;5435 N 40TH ST
152720114;09/29/2015;04:14 PM;7.0;SIMPLE ASSAULT;;;;4725 W VILLARD AV
152720120;09/29/2015;05:16 PM;7.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;5037 N 28TH ST
152720134;09/29/2015;06:37 PM;7.0;SIMPLE ASSAULT;;;;3490 W CAPITOL DR
152720168;09/29/2015;08:45 PM;4.0;THEFT FROM BUILDING;;;;5479 N MILWAUKEE RIVER PK
152730003;09/29/2015;10:34 PM;5.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;2222 W CAPITOL DR
152730005;09/29/2015;11:19 PM;4.0;ROBBERY;;;;4304 W MONROVIA WA
152710023;09/28/2015;07:32 AM;7.0;BURGLARY/BREAKING AND ENTERING;;;;4112 W HAMPTON AV
152710051;09/28/2015;11:16 AM;7.0;THEFT FROM BUILDING;;;;4736 W EGGERT PL
152710058;09/28/2015;11:04 AM;7.0;SIMPLE ASSAULT;;;;5075 N SHERMAN BL
152710062;09/28/2015;01:32 PM;5.0;BURGLARY/BREAKING AND ENTERING;;;;3000 W CAPITOL DR
152710091;09/28/2015;02:52 PM;7.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;5172 N TEUTONIA AV
152710116;09/28/2015;05:20 PM;5.0;BURGLARY/BREAKING AND ENTERING;;;;4719 N 30TH ST
152710119;09/28/2015;04:21 PM;5.0;THEFT FROM BUILDING;;;;4028 N 19TH ST
152710127;09/28/2015;12:36 PM;4.0;BURGLARY/BREAKING AND ENTERING;;;;5247 N 36TH ST #LWR
152710152;09/28/2015;08:46 PM;7.0;AGGRAVATED ASSAULT;;;;4820 N 37TH ST
152710162;09/28/2015;09:10 PM;5.0;SIMPLE ASSAULT;;;;4463 N 30TH ST #UPR
152710169;09/28/2015;08:40 PM;7.0;ROBBERY;;;;3500 W HAMPTON AV
152710187;09/28/2015;06:33 PM;4.0;BURGLARY/BREAKING AND ENTERING;;;;5873 N 39TH ST
152700017;09/27/2015;03:20 AM;5.0;WEAPON LAW VIOLATIONS;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;4017 N 19TH PL
152700077;09/27/2015;09:24 AM;7.0;THEFT FROM MOTOR VEHICLE;;;;4861 N 37TH ST
152700090;09/27/2015;02:44 PM;7.0;ROBBERY;;;;4808 N HOPKINS ST
152700095;09/27/2015;03:44 PM;7.0;ROBBERY;;;;4808 N HOPKINS ST
152700114;09/27/2015;05:27 PM;4.0;MOTOR VEHICLE THEFT;;;;5385 N GREEN BAY AV
152700158;09/27/2015;05:49 PM;4.0;SIMPLE ASSAULT;;;;5221 N TEUTONIA AV
152690024;09/26/2015;03:10 AM;7.0;MOTOR VEHICLE THEFT;;;;5010 W FAIRMOUNT AV
152690054;09/26/2015;10:06 AM;4.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;5950 N 42ND ST
152690060;09/26/2015;10:08 AM;5.0;AGGRAVATED ASSAULT;;;;4716 N 30TH ST #UPR
152690106;09/26/2015;04:31 PM;4.0;MOTOR VEHICLE THEFT;;;;5567 N 36TH ST
152690108;09/26/2015;04:50 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;5016 W FAIRMOUNT AV
152690118;09/26/2015;04:27 PM;7.0;ROBBERY;;;;4600 N GREEN BAY AV
152690137;09/26/2015;06:21 PM;5.0;MOTOR VEHICLE THEFT;;;;4631 N 30TH ST
152690159;09/26/2015;08:39 PM;7.0;AGGRAVATED ASSAULT;;;;5020 W HAMPTON AV
152690166;09/26/2015;09:58 PM;5.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;2700 W CAPITOL DR
152680016;09/25/2015;05:45 AM;4.0;SIMPLE ASSAULT;;;;7027 N TEUTONIA AV #4
152680019;09/25/2015;03:33 AM;4.0;SIMPLE ASSAULT;;;;6961 N 37TH ST #4
152680021;09/25/2015;05:14 AM;4.0;BURGLARY/BREAKING AND ENTERING;;;;2400 W VILLARD AV
152680041;09/25/2015;09:00 AM;5.0;THEFT FROM BUILDING;;;;1801 W OLIVE ST
152680054;09/25/2015;09:42 AM;7.0;BURGLARY/BREAKING AND ENTERING;;;;5020 W HAMPTON AV
152680108;09/25/2015;02:33 PM;5.0;SIMPLE ASSAULT;TRESPASSING;;;4485 N TEUTONIA AV #1
152680146;09/25/2015;05:30 PM;5.0;ARSON;;;;4657 N 30TH ST
152680159;09/25/2015;01:05 PM;4.0;BURGLARY/BREAKING AND ENTERING;;;;5868 N 41ST ST
