"Track Block",White,"Black or African American","American Indian and Ala Native",Asian,"Native Hawaiian/other Pac Isl","Multiple Race","Other Race",Total
0008001006,206,151,3,6,1,13,6,386
0008001008,18,1,0,1,0,0,0,20
0008002001,12,0,0,0,0,2,0,14
0008002002,102,19,3,1,0,4,0,129
0008002017,53,76,0,0,0,0,3,132
0008001000,101,141,0,0,0,1,0,243
0008001001,80,49,1,0,2,4,0,136
0008002003,124,126,1,13,0,7,0,271
0008002006,96,252,0,0,0,10,5,363
0008002007,186,122,4,2,0,2,0,316
0008002012,72,120,3,22,0,10,7,234
0008001013,0,0,0,0,0,0,0,0
0008002011,59,65,0,3,0,6,0,133
0008002016,33,57,1,0,0,5,5,101
0008001005,57,14,0,0,0,0,0,71
0008002005,68,46,0,11,0,0,1,126
0008002015,47,28,4,0,0,2,4,85
0008001002,46,9,0,0,0,0,0,55
0008001009,173,353,0,18,0,12,2,558
0008001007,12,20,0,0,0,1,0,33
0008001010,11,62,1,5,0,1,12,92
0008001012,117,48,1,0,0,4,7,177
0008001015,59,10,0,0,0,6,4,79
0008002010,46,0,0,4,0,1,0,51
0008002014,10,19,0,0,0,0,0,29
0008001003,51,36,0,4,0,0,6,97
0008001004,23,15,0,1,0,0,0,39
0008002000,0,0,0,0,0,0,0,0
0008002008,115,61,0,14,0,7,0,197
0008002009,92,257,0,20,0,10,2,381
0008002013,62,90,1,9,0,4,0,166
0008001011,0,0,0,0,0,0,0,0
0008001014,18,81,1,0,0,13,5,118
0008002004,48,58,2,0,0,0,0,108
,,,,,,,,
"Total Records: 35",,,,,,,,
"Census Tract: 800",,,,,,,,
