"Track Block",White,"Black or African American","American Indian and Ala Native",Asian,"Native Hawaiian/other Pac Isl","Multiple Race","Other Race",Total
0066001003,1,198,0,9,0,0,0,208
0066001007,0,121,1,0,0,0,0,122
0066002006,3,79,0,0,0,0,0,82
0066003002,0,65,0,0,0,0,0,65
0066001000,1,226,8,0,0,2,0,237
0066001002,3,145,0,0,0,9,0,157
0066001004,0,275,0,0,0,5,1,281
0066002000,2,80,0,0,0,0,0,82
0066002005,0,46,0,0,0,1,0,47
0066002009,0,0,0,0,0,0,0,0
0066003006,3,77,0,0,0,0,0,80
0066001006,0,131,0,0,0,0,3,134
0066002001,2,60,0,0,0,2,0,64
0066001001,3,158,1,0,0,0,0,162
0066002004,3,52,5,0,0,2,0,62
0066002007,0,0,0,0,0,0,0,0
0066002008,0,97,0,0,0,0,0,97
0066003005,0,54,0,0,0,0,0,54
0066002003,1,88,1,0,1,0,0,91
0066003000,0,54,0,0,0,1,0,55
0066001005,4,272,1,0,0,2,0,279
0066003004,16,94,0,0,0,3,0,113
0066002002,0,66,0,0,0,0,0,66
0066003001,2,46,0,0,0,0,0,48
0066003003,15,102,0,0,0,1,0,118
,,,,,,,,
"Total Records: 26",,,,,,,,
"Census Tract: 6600",,,,,,,,
