"Track Block",White,"Black or African American","American Indian and Ala Native",Asian,"Native Hawaiian/other Pac Isl","Multiple Race","Other Race",Total
0022001000,0,0,0,0,0,0,0,0
0022001011,83,18,0,4,0,2,4,111
0022002006,36,17,0,0,0,1,3,57
0022002008,15,46,0,0,0,0,0,61
0022001001,23,4,0,1,0,3,1,32
0022001004,20,10,0,0,0,0,1,31
0022002001,117,268,1,10,1,15,25,437
0022001008,1,0,0,0,0,0,3,4
0022001007,48,12,0,1,0,6,2,69
0022001010,0,0,0,0,0,0,0,0
0022001002,26,2,0,0,0,0,0,28
0022001006,37,5,0,0,0,2,0,44
0022002002,0,0,0,0,0,0,0,0
0022002005,0,0,0,0,0,0,0,0
0022002009,24,45,0,0,0,0,0,69
0022001003,28,4,0,0,0,0,0,32
0022001009,121,55,0,4,0,3,4,187
0022002010,0,0,0,0,0,0,0,0
0022001005,36,5,0,0,0,0,0,41
0022001012,17,0,0,0,0,0,0,17
0022002000,25,35,0,1,0,6,0,67
0022002003,28,26,0,0,0,0,0,54
0022002004,24,41,0,0,0,0,0,65
0022002007,31,167,0,0,0,11,13,222
,,,,,,,,
"Total Records: 25",,,,,,,,
"Census Tract: 2200",,,,,,,,
