"Track Block",White,"Black or African American","American Indian and Ala Native",Asian,"Native Hawaiian/other Pac Isl","Multiple Race","Other Race",Total
0208002010,0,0,0,0,0,0,0,0
0208005007,97,0,0,0,0,0,4,101
0208001000,0,0,0,0,0,0,0,0
0208001001,62,0,0,1,0,2,0,65
0208001003,75,0,0,0,0,2,0,77
0208001005,90,0,0,2,0,2,2,96
0208002004,85,0,0,0,0,0,0,85
0208002009,83,0,0,1,0,1,0,85
0208003003,51,0,0,6,0,1,0,58
0208003008,51,0,0,0,0,1,2,54
0208003010,107,0,0,0,0,2,0,109
0208004003,132,1,2,2,0,2,2,141
0208002001,88,0,2,0,0,0,0,90
0208003004,26,0,0,0,0,0,0,26
0208003006,116,0,1,0,0,3,0,120
0208004002,129,2,6,0,0,0,6,143
0208004004,84,2,0,2,0,1,0,89
0208001004,77,4,0,0,0,0,1,82
0208001006,90,1,0,0,0,0,0,91
0208001007,80,0,0,4,0,1,3,88
0208002000,18,0,0,2,0,1,0,21
0208003009,45,1,0,0,0,0,1,47
0208005004,45,0,0,1,0,3,0,49
0208005005,73,2,2,6,0,5,4,92
0208002002,87,0,0,1,0,0,0,88
0208002006,58,0,1,0,0,2,0,61
0208003005,90,0,0,1,0,0,0,91
0208003007,0,0,0,0,0,0,0,0
0208005003,39,0,0,0,0,0,1,40
0208005006,61,0,0,1,0,4,9,75
0208002005,87,1,0,0,0,0,0,88
0208003002,83,1,0,0,0,3,2,89
0208003011,59,3,1,0,0,0,0,63
0208003000,47,0,0,0,0,1,0,48
0208003001,37,0,0,0,0,0,0,37
0208005002,44,0,0,0,0,0,3,47
0208002003,81,0,0,0,0,1,0,82
0208002007,79,0,0,8,0,1,1,89
0208002008,77,0,1,0,0,0,0,78
0208005000,56,0,0,0,0,2,1,59
0208005001,95,3,0,1,0,3,1,103
,,,,,,,,
"Total Records: 42",,,,,,,,
"Census Tract: 20800",,,,,,,,
