"Track Block",White,"Black or African American","American Indian and Ala Native",Asian,"Native Hawaiian/other Pac Isl","Multiple Race","Other Race",Total
0214001008,92,2,1,0,0,0,2,97
0214002005,59,4,0,0,0,0,0,63
0214001002,122,4,1,4,0,1,5,137
0214001005,88,0,3,0,0,11,13,115
0214002004,39,1,0,0,0,0,0,40
0214002007,50,0,0,0,0,3,0,53
0214001003,0,0,0,0,0,0,0,0
0214002002,88,0,0,0,1,5,9,103
0214001000,91,0,1,10,0,6,13,121
0214001009,383,13,28,44,0,47,44,559
0214002003,63,1,1,6,0,0,0,71
0214002006,89,0,0,0,0,4,1,94
0214001006,85,0,0,0,0,4,0,89
0214001007,196,0,4,0,0,1,0,201
0214002008,0,0,0,0,0,0,0,0
0214001004,54,0,2,6,0,11,0,73
0214001001,50,0,0,0,0,0,0,50
0214002009,880,53,18,75,1,32,31,1090
0214002000,53,0,0,5,0,5,0,63
0214002001,18,0,0,0,0,0,0,18
,,,,,,,,
"Total Records: 21",,,,,,,,
"Census Tract: 21400",,,,,,,,
