"Track Block",White,"Black or African American","American Indian and Ala Native",Asian,"Native Hawaiian/other Pac Isl","Multiple Race","Other Race",Total
0126001001,0,0,0,0,0,0,0,0
0126001010,11,0,0,0,0,0,0,11
0126001013,81,4,1,1,0,3,1,91
0126002003,2,0,0,0,0,0,0,2
0126002004,37,4,0,0,0,0,0,41
0126002005,1,0,0,0,0,1,0,2
0126002011,0,0,0,0,0,0,0,0
0126002012,78,0,0,1,0,2,5,86
0126003004,26,0,0,0,0,0,0,26
0126003011,105,0,0,0,0,2,1,108
0126001002,28,1,0,0,0,0,0,29
0126001009,20,0,0,0,0,0,0,20
0126002013,143,0,2,0,0,2,1,148
0126003013,71,0,0,0,0,0,0,71
0126001000,6,0,0,0,0,0,0,6
0126001011,28,1,0,1,0,0,0,30
0126001014,63,0,3,0,0,0,0,66
0126002010,0,0,0,0,0,0,0,0
0126003002,4,0,0,0,0,0,0,4
0126003010,65,0,0,0,0,0,0,65
0126003014,25,0,0,0,0,4,0,29
0126001007,111,3,1,1,1,4,0,121
0126001008,87,0,1,0,0,3,0,91
0126002008,80,0,0,0,0,0,4,84
0126003003,28,0,0,0,0,0,0,28
0126001003,0,0,0,0,0,0,0,0
0126002000,1,0,0,0,0,0,0,1
0126003006,64,0,0,0,0,0,0,64
0126003012,52,2,0,4,0,0,0,58
0126003000,5,0,0,0,0,0,0,5
0126003001,4,2,0,0,0,4,0,10
0126003007,149,1,2,0,0,8,2,162
0126003008,83,1,0,2,0,0,1,87
0126001004,36,0,1,0,0,0,0,37
0126001012,79,0,4,0,0,2,0,85
0126002006,113,1,1,0,0,0,0,115
0126003009,66,0,1,0,0,3,0,70
0126001005,7,0,2,0,0,0,0,9
0126001006,87,8,0,1,0,8,0,104
0126002001,0,0,0,0,0,0,0,0
0126002002,54,0,0,2,0,1,0,57
0126002007,30,0,0,0,0,0,0,30
0126002009,84,3,5,1,0,1,3,97
0126003005,55,0,0,0,0,2,0,57
,,,,,,,,
"Total Records: 45",,,,,,,,
"Census Tract: 12600",,,,,,,,
