"Track Block",White,"Black or African American","American Indian and Ala Native",Asian,"Native Hawaiian/other Pac Isl","Multiple Race","Other Race",Total
0135002000,0,0,0,0,0,0,0,0
0135002004,27,92,6,21,0,5,7,158
0135001002,118,425,9,4,0,18,14,588
0135002006,21,73,0,1,0,4,0,99
0135002001,0,1,0,1,0,0,0,2
0135001004,16,89,2,0,0,0,0,107
0135002003,41,131,0,2,0,5,10,189
0135002005,111,81,1,2,0,3,36,234
0135001000,3,138,3,0,0,11,5,160
0135001001,37,329,1,0,0,15,1,383
0135002002,27,111,0,5,0,1,0,144
,,,,,,,,
"Total Records: 12",,,,,,,,
"Census Tract: 13500",,,,,,,,
