"Track Block",White,"Black or African American","American Indian and Ala Native",Asian,"Native Hawaiian/other Pac Isl","Multiple Race","Other Race",Total
0045002000,0,0,0,0,0,0,0,0
0045002012,0,126,0,0,0,0,0,126
0045001009,0,0,0,0,0,0,0,0
0045001010,0,0,0,0,0,0,0,0
0045002009,0,0,0,0,0,0,0,0
0045003003,2,78,0,0,0,0,0,80
0045001000,2,47,0,0,0,8,0,57
0045001006,7,58,0,0,0,0,0,65
0045001008,0,21,0,0,0,0,0,21
0045001012,4,193,1,0,0,0,0,198
0045001013,3,49,0,0,0,0,0,52
0045002005,3,25,0,0,0,0,0,28
0045002008,2,52,0,0,0,1,0,55
0045001001,1,48,0,0,0,2,0,51
0045001007,2,91,0,0,0,0,2,95
0045001011,5,117,0,0,0,0,0,122
0045002001,0,95,0,0,0,3,0,98
0045002010,0,0,0,0,0,0,0,0
0045002011,3,175,3,0,0,5,1,187
0045002014,0,0,0,0,0,0,0,0
0045003006,1,113,0,0,0,5,0,119
0045003007,1,139,0,0,0,3,0,143
0045001003,0,0,0,0,0,0,0,0
0045002002,3,161,0,0,0,5,0,169
0045002004,7,140,0,0,0,1,0,148
0045002007,0,0,0,0,0,0,0,0
0045003000,6,162,0,0,0,0,2,170
0045003004,0,89,0,0,0,2,0,91
0045001004,1,52,0,19,0,1,0,73
0045001014,0,1,0,0,0,0,0,1
0045002013,2,80,0,0,0,15,0,97
0045002003,3,132,0,0,0,15,0,150
0045002006,0,0,0,0,0,0,0,0
0045003005,0,119,0,0,0,0,4,123
0045001002,1,53,0,0,0,0,2,56
0045001005,2,27,0,0,0,4,0,33
0045001015,0,0,0,0,0,0,0,0
0045003001,1,162,0,0,0,7,0,170
0045003002,1,66,0,0,0,0,3,70
,,,,,,,,
"Total Records: 40",,,,,,,,
"Census Tract: 4500",,,,,,,,
