"Track Block",White,"Black or African American","American Indian and Ala Native",Asian,"Native Hawaiian/other Pac Isl","Multiple Race","Other Race",Total
0168003006,89,5,4,0,0,5,71,174
0168001001,48,12,1,0,1,4,65,131
0168001002,31,21,3,0,0,11,23,89
0168001004,7,9,1,0,0,0,54,71
0168002002,44,1,0,0,0,0,61,106
0168002004,55,27,1,9,0,6,50,148
0168001003,22,10,0,15,0,11,24,82
0168002000,139,7,2,0,0,7,68,223
0168003001,0,0,0,0,0,1,0,1
0168001006,2,0,0,0,0,0,11,13
0168001008,0,0,0,0,0,0,0,0
0168001014,0,0,0,0,0,0,0,0
0168002003,26,0,1,0,0,7,31,65
0168003000,122,21,7,1,0,16,54,221
0168003004,63,27,5,14,0,7,55,171
0168003005,106,7,7,11,0,9,98,238
0168001007,38,2,0,2,0,8,64,114
0168001012,36,12,0,0,0,5,73,126
0168002005,0,0,0,0,0,0,0,0
0168003003,82,15,1,0,0,15,86,199
0168001005,69,0,1,0,0,25,78,173
0168001010,12,5,2,0,0,0,21,40
0168002006,12,0,0,0,0,0,0,12
0168002007,61,0,0,0,0,0,37,98
0168001013,0,0,0,0,0,0,0,0
0168003002,56,12,1,17,2,10,142,240
0168001000,67,0,10,2,0,11,47,137
0168001011,54,8,3,0,0,17,48,130
0168002001,101,0,1,0,0,17,111,230
,,,,,,,,
"Total Records: 30",,,,,,,,
"Census Tract: 16800",,,,,,,,
