"Track Block",White,"Black or African American","American Indian and Ala Native",Asian,"Native Hawaiian/other Pac Isl","Multiple Race","Other Race",Total
0210001003,54,0,0,1,0,0,0,55
0210002000,191,1,1,0,0,4,5,202
0210002007,29,0,0,0,0,0,0,29
0210002003,179,0,0,0,0,0,1,180
0210002010,94,0,1,0,0,0,9,104
0210001008,45,0,1,0,0,2,0,48
0210002006,32,0,0,0,0,0,0,32
0210001004,135,2,1,5,0,2,9,154
0210001010,43,0,1,0,0,1,0,45
0210002002,117,1,2,0,0,0,0,120
0210002009,40,0,0,1,0,0,0,41
0210001005,178,4,1,0,1,0,2,186
0210001007,70,0,0,0,0,0,0,70
0210002004,133,0,1,1,0,2,0,137
0210002005,114,1,1,0,0,6,3,125
0210002008,23,0,0,0,0,0,3,26
0210001002,52,0,0,0,0,1,2,55
0210001001,220,2,0,6,0,20,20,268
0210001009,27,0,0,0,0,0,0,27
0210001006,63,0,0,0,0,0,0,63
0210002001,161,3,1,0,0,7,5,177
,,,,,,,,
"Total Records: 22",,,,,,,,
"Census Tract: 21000",,,,,,,,
