"Track Block",White,"Black or African American","American Indian and Ala Native",Asian,"Native Hawaiian/other Pac Isl","Multiple Race","Other Race",Total
0086001006,8,106,0,0,0,0,0,114
0086002006,0,108,0,0,0,0,0,108
0086001004,0,39,0,0,0,0,9,48
0086002003,0,107,0,0,0,0,0,107
0086001003,0,81,0,0,0,0,0,81
0086002002,1,94,0,0,0,1,0,96
0086002007,0,76,0,0,0,0,0,76
0086001005,0,132,0,0,0,0,2,134
0086001000,5,124,0,0,0,0,3,132
0086001001,0,111,0,0,0,0,0,111
0086001007,0,63,0,0,0,0,0,63
0086002005,2,121,0,0,0,1,0,124
0086001002,1,121,0,0,0,1,0,123
0086002000,0,114,0,0,0,0,0,114
0086002001,1,121,2,0,0,0,0,124
0086002004,2,90,0,0,0,4,0,96
,,,,,,,,
"Total Records: 17",,,,,,,,
"Census Tract: 8600",,,,,,,,
