"Track Block",White,"Black or African American","American Indian and Ala Native",Asian,"Native Hawaiian/other Pac Isl","Multiple Race","Other Race",Total
0162002000,74,1,1,3,0,0,1,80
0162003000,53,3,3,23,0,4,96,182
0162003006,148,0,4,18,0,9,22,201
0162001003,50,16,0,0,0,4,33,103
0162001006,116,5,13,11,0,6,66,217
0162002001,94,3,1,30,0,0,48,176
0162003003,20,8,0,1,0,0,21,50
0162001002,101,18,21,24,0,32,89,285
0162002002,125,6,1,0,0,1,0,133
0162002003,6,0,0,0,0,0,0,6
0162002005,79,20,11,29,0,13,91,243
0162003002,80,0,0,20,0,2,42,144
0162003005,80,0,5,13,0,9,28,135
0162001001,142,22,5,0,0,20,116,305
0162001000,72,0,1,12,0,5,55,145
0162001005,114,13,5,20,0,4,103,259
0162003001,78,4,0,31,0,4,53,170
0162003004,33,0,0,0,0,0,0,33
0162001004,38,11,0,0,0,0,61,110
0162002006,77,9,6,6,0,16,121,235
0162002004,25,0,10,47,0,3,14,99
,,,,,,,,
"Total Records: 22",,,,,,,,
"Census Tract: 16200",,,,,,,,
