"Track Block",White,"Black or African American","American Indian and Ala Native",Asian,"Native Hawaiian/other Pac Isl","Multiple Race","Other Race",Total
0215001005,59,0,0,0,0,0,4,63
0215002011,38,0,0,0,0,0,0,38
0215002012,33,0,3,0,0,0,0,36
0215003006,61,0,0,0,0,0,3,64
0215003009,109,6,0,0,0,7,2,124
0215001003,36,0,0,0,0,0,0,36
0215001004,51,0,0,7,0,0,0,58
0215001009,57,10,3,5,0,0,1,76
0215002003,50,0,0,0,0,10,0,60
0215002004,66,0,0,4,0,2,0,72
0215002005,58,0,0,0,0,0,1,59
0215002006,59,0,0,6,0,0,0,65
0215003004,11,0,0,0,0,0,3,14
0215003010,172,0,0,0,0,1,4,177
0215001008,98,0,0,0,0,3,4,105
0215002000,75,0,0,0,0,0,0,75
0215002017,89,0,0,7,0,1,5,102
0215003000,42,1,0,0,0,0,0,43
0215001000,39,0,0,0,0,0,0,39
0215001001,64,0,0,0,0,0,0,64
0215001007,55,0,2,0,0,1,2,60
0215002001,22,0,0,3,0,12,2,39
0215002014,89,0,0,3,0,0,0,92
0215002015,31,0,0,4,0,0,3,38
0215002016,13,0,0,0,0,2,1,16
0215003003,30,0,0,1,0,0,2,33
0215003008,66,0,0,0,0,0,4,70
0215003012,51,0,0,5,0,0,0,56
0215001010,84,0,0,9,0,1,10,104
0215002013,32,0,0,5,0,0,2,39
0215003005,50,0,0,5,0,0,0,55
0215003007,55,0,0,5,0,0,0,60
0215003011,57,0,0,2,0,0,0,59
0215003013,67,0,0,3,0,2,3,75
0215001002,53,3,0,0,0,0,0,56
0215002009,49,0,0,0,0,0,0,49
0215001006,54,0,0,3,0,0,0,57
0215002002,166,0,0,0,0,1,0,167
0215002007,57,0,0,0,0,0,0,57
0215002008,46,0,0,0,0,0,0,46
0215002010,37,0,0,0,0,0,0,37
0215003001,59,0,0,1,0,1,2,63
0215003002,55,1,0,0,0,0,0,56
,,,,,,,,
"Total Records: 44",,,,,,,,
"Census Tract: 21500",,,,,,,,
