"Track Block",White,"Black or African American","American Indian and Ala Native",Asian,"Native Hawaiian/other Pac Isl","Multiple Race","Other Race",Total
0216001011,139,3,2,0,0,1,13,158
0216001018,115,0,0,8,0,1,0,124
0216002000,320,9,0,15,0,24,28,396
0216002002,19,0,0,0,0,0,0,19
0216002007,65,0,0,0,0,2,0,67
0216001001,0,0,0,0,0,0,0,0
0216001005,22,0,3,0,0,0,0,25
0216001007,775,15,2,60,1,41,40,934
0216002006,80,0,0,2,0,0,0,82
0216002008,36,0,0,1,0,0,0,37
0216002011,110,0,0,6,0,17,6,139
0216002013,26,0,0,0,0,0,3,29
0216002016,132,0,4,0,0,19,15,170
0216001002,0,0,0,0,0,0,0,0
0216001004,61,0,0,0,0,0,8,69
0216001013,28,0,0,4,0,1,0,33
0216002010,70,0,0,0,0,0,0,70
0216002012,81,0,0,0,0,0,0,81
0216002015,227,18,17,11,0,32,8,313
0216001003,101,1,1,1,0,1,0,105
0216001010,84,0,0,7,0,0,0,91
0216001017,94,0,0,0,0,0,0,94
0216001000,0,0,0,0,0,0,0,0
0216001019,114,0,0,13,0,8,7,142
0216001009,53,0,0,0,0,0,0,53
0216001014,0,0,0,0,0,0,0,0
0216002004,32,0,0,5,0,0,0,37
0216001006,48,0,4,0,0,7,0,59
0216001008,39,0,0,0,0,0,0,39
0216001015,0,0,0,0,0,0,0,0
0216001016,0,0,0,0,0,0,0,0
0216002009,11,0,2,0,0,1,3,17
0216002014,63,5,1,0,0,1,0,70
0216001012,136,2,0,0,0,0,2,140
0216002001,235,0,0,1,0,0,0,236
0216002003,97,0,0,8,0,0,0,105
0216002005,155,2,0,0,4,0,0,161
,,,,,,,,
"Total Records: 38",,,,,,,,
"Census Tract: 21600",,,,,,,,
