Incident Number;Date;Time;Police District;Offense 1;Offense 2;Offense 3;Offense 4;Location;Address
152450153;09/02/2015;07:49 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[43.07375644463039, -87.9862490809335];3009 N 59TH ST
152710070;09/28/2015;12:35 PM;6.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[42.981847417232494, -87.94853596808659];3477 S 27TH ST
152710077;09/28/2015;01:54 PM;6.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[42.986851513994026, -88.01372135789715];8035 W EUCLID AV
152710168;09/28/2015;07:04 PM;6.0;THEFT FROM BUILDING;;;;[42.9784930058284, -88.0202995226497];3627 S 86TH ST
152690090;09/26/2015;02:21 PM;6.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[42.984705397388694, -87.94846638397011];3333 S 27TH ST
152690091;09/26/2015;02:21 PM;6.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[42.9831945672858, -87.94849586902569];3401 S 27TH ST
152670103;09/24/2015;05:51 PM;6.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[42.98790524453221, -87.96996579268844];4440 W FOREST HOME AV
152650037;09/22/2015;08:04 AM;6.0;THEFT FROM MOTOR VEHICLE;;;;[42.97401609950371, -87.94872580596993];2720 W HOWARD AV
152630050;09/20/2015;09:38 AM;6.0;THEFT FROM MOTOR VEHICLE;;;;[42.99767924562872, -87.99570295181508];2570 S 67TH ST
152630081;09/20/2015;12:42 PM;6.0;THEFT FROM BUILDING;;;;[42.97343791032325, -88.00816438422375];3913 S 76TH ST #7
152640002;09/20/2015;10:47 PM;6.0;THEFT FROM MOTOR VEHICLE;;;;[42.998670000000004, -87.99911953707641];2521 S 69TH ST
152620098;09/19/2015;02:31 PM;6.0;THEFT FROM MOTOR VEHICLE;;;;[42.97401609950371, -87.94873117661656];2722 W HOWARD AV
152620105;09/19/2015;03:05 PM;6.0;THEFT FROM MOTOR VEHICLE;;;;[42.97403409952649, -87.95011027143902];2820 W HOWARD AV #3
152620173;09/19/2015;08:10 PM;6.0;THEFT FROM BUILDING;;;;[42.98290650678069, -87.98353085789716];5517 W HOLT AV
152620009;09/18/2015;11:27 PM;6.0;THEFT FROM MOTOR VEHICLE;;;;[42.974716224671994, -87.95320765126252];3870 S MINER ST #1
152570058;09/14/2015;07:39 AM;6.0;THEFT FROM MOTOR VEHICLE;;;;[42.98162004804069, -87.98031959481196];5224 W FOREST HOME AV
152580007;09/14/2015;11:28 PM;6.0;THEFT FROM BUILDING;;;;[42.999439228587136, -87.96959022913687];2459 S 43RD ST #302
152550060;09/12/2015;11:39 AM;6.0;THEFT FROM MOTOR VEHICLE;;;;[42.980642580904856, -87.98912447013694];3520 S 61ST ST
152530173;09/10/2015;10:15 PM;6.0;THEFT FROM MOTOR VEHICLE;;;;[42.986817586733224, -87.96792752654483];3167 S 43RD ST
152510046;09/08/2015;09:07 AM;6.0;THEFT FROM MOTOR VEHICLE;;;;[42.98680875437128, -87.96545051543632];3169 S 41ST ST
152510112;09/08/2015;01:55 PM;6.0;THEFT FROM BUILDING;;;;[42.99485375826644, -87.98777105539827];2727 S 60TH ST #2
152510143;09/08/2015;05:05 PM;6.0;THEFT FROM MOTOR VEHICLE;;;;[42.98402411217089, -87.94350398033778];2304 W SUNBURY CT
152490098;09/06/2015;02:09 PM;6.0;THEFT FROM BUILDING;;;;[42.98489091248832, -87.94843751889785];3355 S 27TH ST
152460031;09/03/2015;05:08 AM;6.0;THEFT FROM BUILDING;;;;[42.98507958090485, -87.98643347013694];3270 S 58TH ST
152460049;09/03/2015;09:20 AM;6.0;THEFT FROM MOTOR VEHICLE;;;;[42.985476471550584, -88.01882447013695];3242 S 85TH ST
152460076;09/03/2015;01:09 PM;6.0;THEFT FROM MOTOR VEHICLE;;;;[42.98728270716733, -87.98618478879331];5801 W LAKEFIELD DR
152440050;09/01/2015;10:53 AM;6.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[42.97329075437128, -87.98558855539827];3921 S 57TH ST
152440116;09/01/2015;05:37 PM;6.0;THEFT FROM MOTOR VEHICLE;;;;[42.97943176943963, -87.94922121638618];2700 W LOOMIS RD
152500144;09/01/2015;07:22 PM;6.0;THEFT FROM BUILDING;;;;[42.98822154674261, -88.00244983236193];7201 W OKLAHOMA AV
152730081;09/30/2015;02:16 PM;2.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[43.02331816196852, -87.92832526764168];1310 W NATIONAL AV
152730143;09/30/2015;11:14 PM;2.0;THEFT FROM BUILDING;;;;[43.0029619030159, -87.93030724790034];1414 W LINCOLN AV
152730149;09/30/2015;08:16 PM;2.0;THEFT FROM BUILDING;;;;[43.01413484948038, -87.93110372491338];1515 W LAPHAM BL
152720056;09/29/2015;11:50 AM;2.0;THEFT FROM MOTOR VEHICLE;;;;[43.01370481592378, -87.91842150753479];1620 S 6TH ST #204
152720058;09/29/2015;11:30 AM;2.0;THEFT FROM MOTOR VEHICLE;;;;[43.02072693588781, -87.91268054876183];1017 S 2ND ST
152720131;09/29/2015;07:11 PM;2.0;THEFT FROM BUILDING;;;;[43.00280386384389, -87.9275821306919];1225 W LINCOLN AV
152710025;09/28/2015;09:25 AM;2.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[42.999205514859426, -87.927831];1214 W ARTHUR AV
152710064;09/28/2015;12:18 PM;2.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[42.99972232944776, -87.92851442627985];2468 S 13TH ST
152710172;09/28/2015;10:13 PM;2.0;THEFT FROM MOTOR VEHICLE;;;;[43.00967654954124, -87.9241634662418];1920 S 10TH ST
152700015;09/27/2015;03:25 AM;1.0;THEFT FROM MOTOR VEHICLE;;;;[43.029536018321856, -87.91107906982499];161 S 1ST ST
152700025;09/27/2015;04:35 AM;1.0;THEFT FROM MOTOR VEHICLE;;;;[43.029536018321856, -87.91107906982499];161 S 1ST ST
152700034;09/27/2015;08:30 AM;2.0;THEFT FROM BUILDING;;;;[43.0222021306118, -87.90711142535162];818 S WATER ST
152690143;09/26/2015;06:30 PM;2.0;THEFT FROM BUILDING;;;;[43.02162866472386, -87.9330159001677];916 S CESAR E CHAVEZ DR
152670090;09/24/2015;04:21 PM;2.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[43.00539655440549, -87.93445496808273];2163 S 17TH ST
152660044;09/23/2015;08:11 AM;2.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[43.02640613148584, -87.91551067762198];400 W VIRGINIA ST
152660045;09/23/2015;08:27 AM;2.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[43.015642323619375, -87.92393545902844];1512 S 10TH ST
152660047;09/23/2015;08:44 AM;2.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[43.01902450288553, -87.92462266763806];1025 W SCOTT ST
152660078;09/23/2015;12:19 PM;2.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[43.013534596804185, -87.91842870911293];1630 S 6TH ST
152660083;09/23/2015;01:05 PM;1.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[43.02737346047076, -87.91598127407813];408 W FLORIDA ST
