Incident Number;Date;Time;Police District;Offense 1;Offense 2;Offense 3;Offense 4;Location
063010200;10/28/2006;08:12 PM;7.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;AGGRAVATED ASSAULT;;;2329 W CONGRESS ST
063010208;10/28/2006;08:58 PM;7.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;2521 W GLENDALE AV
063010215;10/28/2006;10:39 PM;4.0;AGGRAVATED ASSAULT;;;;5458 N 20TH ST
063010222;10/28/2006;11:04 PM;7.0;MOTOR VEHICLE THEFT;;;;2101 W ATKINSON AV
063010228;10/28/2006;11:17 PM;7.0;MOTOR VEHICLE THEFT;;;;5145 N 22ND ST
063000027;10/27/2006;04:35 AM;4.0;BURGLARY/BREAKING AND ENTERING;;;;5870 N 36TH ST
063000028;10/27/2006;02:03 AM;7.0;MOTOR VEHICLE THEFT;;;;5115 N 20TH ST
063000032;10/27/2006;06:04 AM;7.0;AGGRAVATED ASSAULT;;;;2900 W FAIRMOUNT AV
063000033;10/27/2006;06:19 AM;4.0;MOTOR VEHICLE THEFT;;;;6162 N 35TH ST
063000052;10/27/2006;07:55 AM;7.0;ALL OTHER LARCENY;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;2101 W PURDUE ST
063000058;10/27/2006;09:34 AM;7.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;4565 N GREEN BAY AV
063000060;10/27/2006;09:46 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;3311 W VILLARD AV
063000068;10/27/2006;09:42 AM;7.0;ALL OTHER LARCENY;;;;2222 W CAPITOL DR
063000074;10/27/2006;10:23 AM;7.0;THEFT FROM MOTOR VEHICLE;;;;3311 W VILLARD AV
063000089;10/27/2006;12:02 PM;4.0;ALL OTHER LARCENY;;;;5405 N 40TH ST
063000093;10/27/2006;12:39 PM;4.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;3853 W HELENA ST
063000099;10/27/2006;11:38 AM;7.0;ALL OTHER LARCENY;;;;4633 N 24TH PL #LWR
063000122;10/27/2006;02:55 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;3919 W VILLARD AV
063000124;10/27/2006;03:04 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;3815 W DOUGLAS AV
063000132;10/27/2006;02:03 PM;4.0;ROBBERY;;;;2800 W VILLARD AV
063000142;10/27/2006;02:29 PM;7.0;ROBBERY;;;;5153 N TEUTONIA AV
063000194;10/27/2006;06:02 PM;4.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;3853 W HELENA ST
063000213;10/27/2006;07:37 PM;7.0;ROBBERY;;;;4055 N TEUTONIA AV
063000232;10/27/2006;09:14 PM;4.0;ROBBERY;;;;3232 W SILVER SPRING DR
063000867;10/27/2006;02:45 PM;7.0;THEFT FROM MOTOR VEHICLE;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;2201 W ATKINSON AV
062990003;10/26/2006;12:03 AM;7.0;ALL OTHER LARCENY;;;;3621 W VILLARD AV
062990013;10/26/2006;12:24 AM;4.0;BURGLARY/BREAKING AND ENTERING;;;;5301 N TEUTONIA AV #211
062990026;10/26/2006;02:28 AM;7.0;BURGLARY/BREAKING AND ENTERING;;;;4803 N GREEN BAY AV
062990042;10/26/2006;06:32 AM;4.0;MOTOR VEHICLE THEFT;;;;6851 N 40TH ST
062990052;10/26/2006;06:47 AM;4.0;MOTOR VEHICLE THEFT;;;;7100 N TEUTONIA AV
062990053;10/26/2006;06:53 AM;7.0;SIMPLE ASSAULT;;;;4903 N 39TH ST #4
062990054;10/26/2006;07:49 AM;7.0;BURGLARY/BREAKING AND ENTERING;;;;2908 W ROOSEVELT DR
062990055;10/26/2006;08:31 AM;4.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;5301 N TEUTONIA AV #303
062990060;10/26/2006;09:00 AM;7.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;5135 N 19TH ST
062990080;10/26/2006;10:21 AM;4.0;SIMPLE ASSAULT;;;;5884 N 38TH ST
062990081;10/26/2006;11:10 AM;7.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;4525 N 20TH ST
062990090;10/26/2006;10:53 AM;7.0;SIMPLE ASSAULT;;;;2700 W CAPITOL DR
062990110;10/26/2006;02:26 PM;7.0;ALL OTHER LARCENY;;;;3323 W VILLARD AV
062990113;10/26/2006;06:04 PM;4.0;ROBBERY;;;;7171 N TEUTONIA AV
062990142;10/26/2006;04:40 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;3814 W KAUL AV
062990162;10/26/2006;06:05 PM;7.0;MOTOR VEHICLE THEFT;;;;5004 N 39TH ST
062990178;10/26/2006;06:54 PM;7.0;SIMPLE ASSAULT;ALL OTHER LARCENY;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;2500 W CAPITOL DR
062990179;10/26/2006;05:43 PM;7.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;4415 N 25TH ST
062990195;10/26/2006;09:19 PM;7.0;MOTOR VEHICLE THEFT;;;;5112 W STARK ST
062990198;10/26/2006;08:08 PM;4.0;ALL OTHER LARCENY;;;;5273 N 38TH ST
062990201;10/26/2006;05:26 PM;7.0;BURGLARY/BREAKING AND ENTERING;;;;2104 W EGGERT PL
062990226;10/26/2006;09:20 PM;7.0;ROBBERY;;;;4830 N 40TH ST
062990230;10/26/2006;08:32 PM;5.0;ROBBERY;;;;4173 N GREEN BAY AV
