Incident Number;Date;Time;Police District;Offense 1;Offense 2;Offense 3;Location
063650016;12/31/2006;01:00 AM;7.0;ALL OTHER LARCENY;;;3800 W HAMPTON AV
063650037;12/31/2006;03:50 AM;4.0;SIMPLE ASSAULT;;;6485 N 42ND ST
063650047;12/31/2006;05:55 AM;7.0;MOTOR VEHICLE THEFT;;;4199 N 21ST ST
063650050;12/31/2006;03:50 AM;4.0;SIMPLE ASSAULT;;;6485 N 42ND ST
063650067;12/31/2006;08:55 AM;4.0;MOTOR VEHICLE THEFT;;;4006 W GOOD HOPE RD
063650094;12/31/2006;12:23 PM;4.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;5672 N 34TH ST
063650107;12/31/2006;01:40 PM;4.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;4224 W BOEHLKE AV
063650117;12/31/2006;02:24 PM;4.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;5506 N 37TH ST
063650135;12/31/2006;04:11 PM;4.0;MOTOR VEHICLE THEFT;;;5425 N 39TH ST
063650159;12/31/2006;06:33 PM;4.0;MOTOR VEHICLE THEFT;;;3604 W KAUL AV
070010008;12/31/2006;11:04 PM;7.0;BURGLARY/BREAKING AND ENTERING;;;4201 N 27TH ST
070010011;12/31/2006;11:44 PM;4.0;MOTOR VEHICLE THEFT;;;2832 W CARMEN AV
070010013;12/31/2006;11:55 PM;7.0;MOTOR VEHICLE THEFT;;;5109 N 38TH ST
063640005;12/30/2006;12:01 AM;7.0;MOTOR VEHICLE THEFT;;;1974 W CONGRESS ST #2
063640006;12/30/2006;12:19 AM;7.0;SIMPLE ASSAULT;;;5130 W HAMPTON AV
063640041;12/30/2006;09:05 AM;4.0;ROBBERY;;;3510 W VILLARD AV
063640044;12/30/2006;04:01 AM;7.0;BURGLARY/BREAKING AND ENTERING;;;2222 W CAPITOL DR
063640079;12/30/2006;08:57 AM;7.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;2822 W ATKINSON AV #101
063640131;12/30/2006;01:47 PM;7.0;ROBBERY;;;2222 W CAPITOL DR
063640143;12/30/2006;02:20 PM;7.0;ROBBERY;;;3701 W VILLARD AV
063640171;12/30/2006;05:15 PM;7.0;ALL OTHER LARCENY;;;3515 W VILLARD AV
063640175;12/30/2006;04:33 PM;4.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;7047 N 43RD ST #2
063640189;12/30/2006;04:07 PM;4.0;AGGRAVATED ASSAULT;;;5344 N 38TH ST
063640191;12/30/2006;05:37 PM;5.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;MOTOR VEHICLE THEFT;;1216 W CAPITOL DR #LOWER
063640217;12/30/2006;10:02 PM;4.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;5957 N 36TH ST
063640231;12/30/2006;11:04 PM;7.0;MOTOR VEHICLE THEFT;;;4559 N 27TH ST
063640232;12/30/2006;10:52 PM;7.0;KIDNAPING;AGGRAVATED ASSAULT;;4002 W FAIRMOUNT AV
063630019;12/29/2006;01:48 AM;4.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;3030 W VILLARD AV
063630060;12/29/2006;10:43 AM;7.0;MOTOR VEHICLE THEFT;;;1700 W CONGRESS ST
063630091;12/29/2006;12:49 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;2100 W FAIRMOUNT AV
063630092;12/29/2006;12:28 PM;4.0;MOTOR VEHICLE THEFT;;;3518 W SILVER SPRING DR
063630103;12/29/2006;01:28 PM;7.0;THEFT FROM MOTOR VEHICLE;;;2200 W CAPITOL DR
063630118;12/29/2006;03:23 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;2826 W ATKINSON AV
063630125;12/29/2006;02:43 PM;4.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;5661 N 35TH ST
063630126;12/29/2006;03:02 PM;7.0;MOTOR VEHICLE THEFT;;;1702 W CAPITOL DR
063630145;12/29/2006;05:18 PM;7.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;5113 W STARK ST
063630157;12/29/2006;05:40 PM;7.0;MOTOR VEHICLE THEFT;;;3311 W VILLARD AV
063630195;12/29/2006;08:25 PM;4.0;ALL OTHER LARCENY;;;7000 N TEUTONIA AV
063640002;12/29/2006;09:23 PM;7.0;BURGLARY/BREAKING AND ENTERING;;;4354 N 30TH ST
063620014;12/28/2006;12:08 AM;4.0;BURGLARY/BREAKING AND ENTERING;;;2402 W LAWN AV
063620027;12/28/2006;03:01 AM;7.0;ROBBERY;;;5153 N 42ND ST
063620033;12/28/2006;08:08 AM;7.0;MOTOR VEHICLE THEFT;;;4139 N 24TH ST
063620039;12/28/2006;02:43 AM;7.0;BURGLARY/BREAKING AND ENTERING;;;2601 W HAMPTON AV
063620043;12/28/2006;08:34 AM;7.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;4112 N 17TH ST
063620044;12/28/2006;08:00 AM;7.0;BURGLARY/BREAKING AND ENTERING;;;4585 N 23RD ST
063620053;12/28/2006;12:15 AM;4.0;MOTOR VEHICLE THEFT;;;7123 N TEUTONIA AV
063620083;12/28/2006;10:21 AM;7.0;ALL OTHER LARCENY;;;4808 N HOPKINS ST
063620095;12/28/2006;12:05 PM;7.0;THEFT FROM MOTOR VEHICLE;;;4200 N 18TH ST
063620105;12/28/2006;12:56 PM;4.0;THEFT FROM MOTOR VEHICLE;;;5460 N 36TH ST
063620116;12/28/2006;01:37 PM;4.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;5676 N 40TH ST
063620119;12/28/2006;02:54 PM;7.0;ALL OTHER LARCENY;;;2300 W ROOSEVELT DR
063620128;12/28/2006;02:04 PM;7.0;ROBBERY;;;2700 W CAPITOL DR
063620162;12/28/2006;06:51 PM;7.0;THEFT FROM MOTOR VEHICLE;;;5062 N HOPKINS ST
063620195;12/28/2006;07:17 PM;4.0;ROBBERY;;;4134 W VILLARD AV
063630017;12/28/2006;10:43 PM;7.0;ROBBERY;;;2232 W CAPITOL DR
063610019;12/27/2006;06:04 AM;4.0;MOTOR VEHICLE THEFT;;;4122 W FLORIST AV
063610143;12/27/2006;02:44 PM;4.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;5467 N 35TH ST
063610153;12/27/2006;03:55 PM;7.0;BURGLARY/BREAKING AND ENTERING;;;4725 W VILLARD AV #A
063610168;12/27/2006;04:32 PM;7.0;BURGLARY/BREAKING AND ENTERING;;;4176 N 17TH ST
063610170;12/27/2006;04:01 PM;7.0;BURGLARY/BREAKING AND ENTERING;;;2607 W ATKINSON AV
063610185;12/27/2006;06:09 PM;4.0;BURGLARY/BREAKING AND ENTERING;;;4814 W GREEN TREE RD
063610197;12/27/2006;07:30 PM;4.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;5651 N 38TH ST
063610203;12/27/2006;06:54 PM;4.0;BURGLARY/BREAKING AND ENTERING;;;5959 N 35TH ST
063610206;12/27/2006;07:47 PM;4.0;BURGLARY/BREAKING AND ENTERING;;;5753 N 39TH ST
063610216;12/27/2006;08:55 PM;4.0;BURGLARY/BREAKING AND ENTERING;;;5733 N 32ND ST
063610220;12/27/2006;10:12 PM;7.0;ALL OTHER LARCENY;;;4485 N 20TH ST
070150148;12/27/2006;01:05 AM;4.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;5883 N TEUTONIA AV #5
063600013;12/26/2006;04:45 AM;7.0;ROBBERY;;;4868 N 27TH ST
063600031;12/26/2006;05:54 AM;5.0;SIMPLE ASSAULT;;;4035 N 15TH ST
063600053;12/26/2006;08:56 AM;4.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;6910 N 40TH PL
063600067;12/26/2006;09:16 AM;7.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;SIMPLE ASSAULT;;5050 N HOPKINS ST
063600074;12/26/2006;09:57 AM;4.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;6840 N DARIEN ST
063600079;12/26/2006;10:17 AM;4.0;ALL OTHER LARCENY;;;5807 N 36TH ST
063600086;12/26/2006;09:13 AM;4.0;BURGLARY/BREAKING AND ENTERING;;;6908 N 37TH ST #4
063600093;12/26/2006;10:57 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;3000 W CAPITOL DR
063600116;12/26/2006;12:24 PM;7.0;MOTOR VEHICLE THEFT;;;4930 N 50TH ST
063600136;12/26/2006;01:19 PM;7.0;BURGLARY/BREAKING AND ENTERING;;;4244 N TEUTONIA AV #2
063600147;12/26/2006;03:31 PM;7.0;THEFT FROM MOTOR VEHICLE;;;4102 W FAIRMOUNT AV
063600190;12/26/2006;05:08 PM;4.0;MOTOR VEHICLE THEFT;;;3532 W VILLARD AV
063600215;12/26/2006;07:41 PM;7.0;MOTOR VEHICLE THEFT;;;4826 N 37TH ST
063610001;12/26/2006;10:36 PM;7.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;4822 N 47TH ST
063590008;12/25/2006;12:16 AM;7.0;MOTOR VEHICLE THEFT;;;1956 W CONGRESS ST
063590011;12/25/2006;12:31 AM;4.0;MOTOR VEHICLE THEFT;;;3500 W VILLARD AV
063590017;12/25/2006;01:28 AM;4.0;SIMPLE ASSAULT;;;6807 N DARIEN ST #4
063590022;12/25/2006;02:29 AM;4.0;THEFT FROM MOTOR VEHICLE;;;6362 N TEUTONIA AV
063590028;12/25/2006;04:49 AM;4.0;AGGRAVATED ASSAULT;;;6263 N TEUTONIA AV
