Incident Number;Date;Time;Police District;Offense 1;Offense 2;Offense 3;Location;Address
63450017;12/11/2006;06:41 AM;7.0;THEFT FROM MOTOR VEHICLE;;;[43.109135497085816, -87.97258539353128];5034 N 48TH ST
63450024;12/11/2006;08:17 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;[43.109532220093485, -87.95276289353127];5060 N 32ND ST
63450026;12/11/2006;08:18 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;[43.10817147879262, -87.94944922009348];2908 W FAIRMOUNT AV
63450051;12/11/2006;07:43 AM;4.0;THEFT FROM MOTOR VEHICLE;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;[43.138300490478045, -87.95835072300768];3642 W ELM ST
63450057;12/11/2006;10:14 AM;7.0;THEFT FROM MOTOR VEHICLE;;;[43.0925042200935, -87.94458487910455];4142 N 25TH ST
63450083;12/11/2006;10:00 AM;7.0;THEFT FROM MOTOR VEHICLE;;;[43.09913599417163, -87.94913288631791];4502 N 29TH ST
63450182;12/11/2006;06:48 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;[43.10715192625576, -87.94650219776234];4936 N 27TH ST
63440058;12/10/2006;10:05 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;[43.1064554995673, -87.97837033236193];5219 W STARK ST
63440081;12/10/2006;11:24 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;[43.11089449711447, -87.97251133236193];4736 W EGGERT PL
63440084;12/10/2006;11:33 AM;4.0;THEFT FROM MOTOR VEHICLE;;;[43.13069515196701, -87.95240548070073];6223 N TEUTONIA AV
63430034;12/09/2006;07:36 AM;7.0;THEFT FROM MOTOR VEHICLE;;;[43.100845478792614, -87.94747291326678];2722 W GLENDALE AV
63430103;12/09/2006;02:26 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;[43.1017287171793, -87.95292489353128];4638 N 32ND ST
63420039;12/08/2006;09:58 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;[43.0927504565756, -87.94200133236194];2402 W HOPE AV
63410039;12/07/2006;09:09 AM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;[43.124319136274465, -87.95731486078269];5862 N 36TH ST
63400048;12/06/2006;08:55 AM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;[43.12459046436587, -87.95034930391252];3020 W BOBOLINK AV
63400054;12/06/2006;09:20 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;[43.098975419095154, -87.93825913200395];4503 N 21ST ST
63400068;12/06/2006;10:14 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;[43.107255754371295, -87.97517165753918];4931 N 50TH ST
63400120;12/06/2006;02:36 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;[43.090943513157306, -87.93790711076788];2041 W ATKINSON AV
63390032;12/05/2006;08:33 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;[43.09014529808414, -87.93434597013695];4020 N 19TH ST
63390037;12/05/2006;09:28 AM;4.0;THEFT FROM MOTOR VEHICLE;;;[43.113122664723875, -87.95514339353127];5256 N 34TH ST
63390056;12/05/2006;11:18 AM;7.0;THEFT FROM MOTOR VEHICLE;;;[43.09812757672125, -87.94826832252285];2801 W ATKINSON AV
63390060;12/05/2006;12:04 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;[43.09298568249747, -87.94055164345916];4202 N TEUTONIA AV
63390101;12/05/2006;03:40 PM;4.0;THEFT FROM MOTOR VEHICLE;;;[43.127559640627666, -87.96248997243205];6043 N 40TH ST
63380025;12/04/2006;08:38 AM;4.0;THEFT FROM MOTOR VEHICLE;;;[43.11373685209743, -87.9640955275831];5301 N HOPKINS ST
63380041;12/04/2006;09:34 AM;7.0;THEFT FROM MOTOR VEHICLE;;;[43.09520125332688, -87.94837266040382];2816 W ROOSEVELT DR
