INCIDENT_N,CDATE,CTIME,POLICE_DISTRICT,OFFENSE1,OFFENSE2,OFFENSE3,OFFENSE4,OFFENSE5,LOCATION
150310014,01/31/2015,02:47 AM,3,SIMPLE ASSAULT,,,,,628 S 60TH ST #9
150310080,01/31/2015,02:16 PM,3,BURGLARY/BREAKING AND ENTERING,,,,,129 N 91ST PL
150310098,01/31/2015,06:02 PM,7,SIMPLE ASSAULT,,,,,2809 N 50TH ST
150300034,01/30/2015,07:27 AM,3,MOTOR VEHICLE THEFT,,,,,1062 N 46TH ST
150290009,01/29/2015,12:01 AM,7,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,,,,,3157 N 49TH ST
150290010,01/29/2015,01:06 AM,7,MOTOR VEHICLE THEFT,,,,,5600 W BURLEIGH ST
150290033,01/29/2015,06:48 AM,3,AGGRAVATED ASSAULT,,,,,146 S 92ND ST #5
150290054,01/29/2015,10:14 AM,7,MOTOR VEHICLE THEFT,,,,,2705 N 50TH ST
150290067,01/29/2015,12:04 PM,7,THEFT FROM MOTOR VEHICLE,THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES,,,,2950 N 50TH ST
150290068,01/29/2015,12:11 PM,7,THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES,,,,,3435 N 60TH ST
150290087,01/29/2015,02:32 PM,7,MOTOR VEHICLE THEFT,,,,,2909 N 53RD ST
150280043,01/28/2015,09:42 AM,7,FORCIBLE FONDLING,,,,,
150280053,01/28/2015,12:05 PM,7,MOTOR VEHICLE THEFT,,,,,2874 N 57TH ST
150280057,01/28/2015,10:29 AM,3,BURGLARY/BREAKING AND ENTERING,,,,,920 N HAWLEY RD #300
150280110,01/28/2015,06:14 PM,7,THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES,,,,,2965 N 69TH ST
150280118,01/28/2015,06:55 PM,3,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,,,,,2567 N 57TH ST
150280141,01/28/2015,03:07 PM,7,ROBBERY,,,,,2927 N 50TH ST
150280159,01/28/2015,09:55 PM,3,THEFT FROM BUILDING,,,,,6721 W STEVENSON ST
143280096,01/27/2015,02:40 PM,3,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,,,,,225 N 39TH ST
150270006,01/27/2015,12:41 AM,7,INTIMIDATION,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,,,,7222 W APPLETON AV #3
150270122,01/27/2015,06:02 PM,3,INTIMIDATION,,,,,2163 N 51ST ST
150280015,01/27/2015,10:04 PM,3,MOTOR VEHICLE THEFT,,,,,835 N HAWLEY RD
150260023,01/26/2015,07:38 AM,7,SIMPLE ASSAULT,,,,,7007 W BURLEIGH ST
150260076,01/26/2015,12:32 PM,3,BURGLARY/BREAKING AND ENTERING,,,,,1745 N 49TH ST
150260080,01/26/2015,03:45 PM,3,ALL OTHER LARCENY,,,,,1160 N 46TH ST
150260084,01/26/2015,03:54 PM,7,SIMPLE ASSAULT,,,,,6741 W KEEFE AVENUE PK
150260088,01/26/2015,03:50 PM,7,BURGLARY/BREAKING AND ENTERING,,,,,3858-A N 68TH ST
