INCIDENT_N,CDATE,CTIME,POLICE_DISTRICT,OFFENSE1,OFFENSE2,OFFENSE3,OFFENSE4,OFFENSE5,LOCATION
150310010,01/31/2015,01:32 AM,2,AGGRAVATED ASSAULT,,,,,3101 W LINCOLN AV
150310085,01/31/2015,04:08 PM,6,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,,,,,2800 S 44TH ST
150310110,01/31/2015,07:52 PM,3,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,,,,,1700 W ST PAUL AV
150310115,01/31/2015,08:19 PM,2,ROBBERY,,,,,1726 S 25TH ST
150310121,01/31/2015,09:00 PM,2,THEFT FROM MOTOR VEHICLE,,,,,1565 S 38TH ST
150310128,01/31/2015,09:34 PM,2,AGGRAVATED ASSAULT,,,,,3231 W BECHER ST #4
150300048,01/30/2015,08:03 AM,2,THEFT FROM BUILDING,,,,,2627 W LAPHAM ST #320
150300055,01/30/2015,09:44 AM,2,THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES,,,,,934 S 33RD ST
150300091,01/30/2015,04:56 PM,2,THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES,,,,,1543 S 30TH ST
150290002,01/29/2015,12:17 AM,3,THEFT FROM BUILDING,,,,,1721 W CANAL ST
150290038,01/29/2015,08:13 AM,2,MOTOR VEHICLE THEFT,,,,,2325 W PIERCE ST
150290134,01/29/2015,07:46 PM,2,MOTOR VEHICLE THEFT,,,,,2619 W BECHER ST
150290147,01/29/2015,08:03 PM,2,SIMPLE ASSAULT,,,,,906-A S 26TH ST
150280031,01/28/2015,09:05 AM,2,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,,,,,4111 W MITCHELL ST
150280055,01/28/2015,12:09 PM,2,AGGRAVATED ASSAULT,,,,,2037-A W FOREST HOME AV
150280061,01/28/2015,12:29 PM,2,SIMPLE ASSAULT,,,,,2108 W BECHER ST
150280069,01/28/2015,02:08 PM,2,THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES,,,,,1531 S 30TH ST
150280073,01/28/2015,12:25 PM,2,SIMPLE ASSAULT,,,,,1614 S 35TH ST
150280105,01/28/2015,04:48 PM,2,INTIMIDATION,,,,,1017 S 22ND ST
150280107,01/28/2015,05:25 PM,2,BURGLARY/BREAKING AND ENTERING,,,,,3215 W MADISON ST
150280129,01/28/2015,07:56 PM,2,MOTOR VEHICLE THEFT,,,,,3603 W MAPLE ST
150280155,01/28/2015,09:36 PM,2,SIMPLE ASSAULT,,,,,2011 W LAPHAM ST
150270011,01/27/2015,01:46 AM,2,ARSON,,,,,1935 S 36TH ST
150270013,01/27/2015,01:22 AM,2,AGGRAVATED ASSAULT,,,,,2200 W SCOTT ST
150270026,01/27/2015,06:55 AM,2,ALL OTHER LARCENY,,,,,1640 W BRUCE ST
150270028,01/27/2015,08:14 AM,2,MOTOR VEHICLE THEFT,,,,,2224 S 22ND ST
150270033,01/27/2015,08:30 AM,2,MOTOR VEHICLE THEFT,,,,,2074 S 31ST ST
150270036,01/27/2015,08:35 AM,2,THEFT FROM MOTOR VEHICLE,,,,,2048 S 35TH ST
150270037,01/27/2015,08:41 AM,2,MOTOR VEHICLE THEFT,,,,,1566 S 24TH ST
150270087,01/27/2015,02:19 PM,2,MOTOR VEHICLE THEFT,,,,,1515 S 24TH ST
150270107,01/27/2015,05:41 PM,2,ALL OTHER LARCENY,,,,,3130 W NATIONAL AV
150270120,01/27/2015,05:29 PM,6,BURGLARY/BREAKING AND ENTERING,THEFT FROM BUILDING,,,,2900 W OKLAHOMA AV
150270135,01/27/2015,06:34 PM,2,ROBBERY,,,,,1432 S 31ST ST
143250090,01/26/2015,02:00 PM,2,THEFT FROM MOTOR VEHICLE,,,,,1020 S 35TH ST
143540089,01/26/2015,09:20 AM,2,BURGLARY/BREAKING AND ENTERING,ROBBERY,,,,1546 S 35TH ST
150230067,01/26/2015,02:40 PM,2,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,,,,,1400 S 43RD ST
150260017,01/26/2015,04:36 AM,2,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,,,,,1021 S 30TH ST
150260021,01/26/2015,06:54 AM,2,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,,,,,2156 S 29TH ST
150260028,01/26/2015,07:38 AM,2,MOTOR VEHICLE THEFT,,,,,817 S 21ST ST
150260031,01/26/2015,08:14 AM,2,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,,,,,2831 W LINCOLN AV
150260096,01/26/2015,02:56 PM,2,AGGRAVATED ASSAULT,,,,,1579 S 36TH ST
150260097,01/26/2015,03:42 PM,2,SEXUAL ASSAULT WITH AN OBJECT,,,,,
150260111,01/26/2015,05:25 PM,2,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,,,,,2207 S 29TH ST
150260113,01/26/2015,05:25 PM,2,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,,,,,2207 S 29TH ST
150260114,01/26/2015,05:25 PM,2,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,,,,,2219 S 29TH ST #LWR
150260117,01/26/2015,07:14 PM,2,MOTOR VEHICLE THEFT,,,,,2439 W MITCHELL ST
150250029,01/25/2015,05:38 AM,2,MOTOR VEHICLE THEFT,,,,,555 S LAYTON BL
150250030,01/25/2015,05:23 AM,2,THEFT FROM MOTOR VEHICLE,,,,,812 S 28TH ST
