INCIDENT_N,CDATE,CTIME,POLICE_DISTRICT,OFFENSE1,OFFENSE2,OFFENSE3,OFFENSE4,OFFENSE5,LOCATION
150310022,01/31/2015,05:49 AM,7,MOTOR VEHICLE THEFT,,,,,4925 W HAMPTON AV
150310031,01/31/2015,08:56 AM,7,MOTOR VEHICLE THEFT,,,,,5401 W LINCOLN CREEK DR
150310056,01/31/2015,10:34 AM,5,AGGRAVATED ASSAULT,,,,,2700 W CHAMBERS ST
150310057,01/31/2015,11:33 AM,7,AGGRAVATED ASSAULT,,,,,4221 W CAPITOL DR
150310063,01/31/2015,12:33 PM,7,AGGRAVATED ASSAULT,,,,,2709 N 44TH ST
150310073,01/31/2015,03:44 PM,7,THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES,,,,,4803 W BURLEIGH ST
150310130,01/31/2015,08:41 PM,5,ROBBERY,,,,,3066 N 22ND ST
150320002,01/31/2015,11:26 PM,7,BURGLARY/BREAKING AND ENTERING,,,,,4664 N 50TH ST
150300037,01/30/2015,07:38 AM,5,SIMPLE ASSAULT,,,,,2208 W LOCUST ST #6
150300045,01/30/2015,09:21 AM,7,THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES,,,,,4310 W HOPE AV
150300063,01/30/2015,11:23 AM,3,ROBBERY,,,,,2636 W FOND DU LAC AV
150300077,01/30/2015,01:46 PM,7,AGGRAVATED ASSAULT,,,,,4830 N 58TH ST
150300085,01/30/2015,03:43 PM,5,SIMPLE ASSAULT,,,,,2306-B W CHAMBERS ST
150300106,01/30/2015,06:31 PM,7,ROBBERY,,,,,3369 N 38TH ST
150300119,01/30/2015,07:25 PM,5,SIMPLE ASSAULT,,,,,2306 W CHAMBERS ST
150300136,01/30/2015,10:41 PM,5,SIMPLE ASSAULT,,,,,3235 N 24TH ST
150280152,01/29/2015,01:44 AM,5,ROBBERY,,,,,2725 W CAPITOL DR
150290017,01/29/2015,01:55 AM,7,MOTOR VEHICLE THEFT,,,,,3612 N 50TH ST
150290019,01/29/2015,01:35 AM,7,AGGRAVATED ASSAULT,,,,,4615 N SHERMAN BL
150290070,01/29/2015,11:30 AM,7,BURGLARY/BREAKING AND ENTERING,,,,,3838 W CAPITOL DR
150290082,01/29/2015,01:31 PM,7,MOTOR VEHICLE THEFT,,,,,3800 W GLENDALE AV
150290097,01/29/2015,03:08 PM,5,ROBBERY,,,,,2400 W BURLEIGH ST
150290110,01/29/2015,03:37 PM,7,AGGRAVATED ASSAULT,,,,,3727 N 56TH ST
150290118,01/29/2015,06:16 PM,7,SIMPLE ASSAULT,,,,,4454 N 40TH ST
150290120,01/29/2015,06:19 PM,7,ROBBERY,,,,,4623 W BURLEIGH ST
150290126,01/29/2015,07:00 PM,5,MOTOR VEHICLE THEFT,,,,,3210 N 27TH ST
150290152,01/29/2015,09:16 PM,7,AGGRAVATED ASSAULT,,,,,3106 N 39TH ST #3
150280012,01/28/2015,01:03 AM,7,ROBBERY,,,,,3148 N 42ND PL
150280028,01/28/2015,07:51 AM,7,INTIMIDATION,,,,,3073 N SHERMAN BL
150280077,01/28/2015,12:26 PM,3,AGGRAVATED ASSAULT,,,,,2525 N SHERMAN BL
150280161,01/28/2015,10:53 PM,5,SIMPLE ASSAULT,,,,,3853 N 26TH ST
150270010,01/27/2015,12:52 AM,7,ROBBERY,,,,,4344 W CAPITOL DR
150270014,01/27/2015,12:38 AM,7,AGGRAVATED ASSAULT,,,,,2840 N 46TH ST
150270063,01/27/2015,12:26 PM,5,MOTOR VEHICLE THEFT,,,,,3000 W AUER AV
150270081,01/27/2015,01:41 PM,5,MOTOR VEHICLE THEFT,,,,,2500 W CONCORDIA AV
150270113,01/27/2015,06:12 PM,5,THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES,,,,,2835 N 25TH ST
150270116,01/27/2015,05:58 PM,5,ROBBERY,,,,,2500 W CENTER ST
150270129,01/27/2015,06:46 PM,7,INTIMIDATION,,,,,4323 W RICE WA
150270131,01/27/2015,06:44 PM,7,SIMPLE ASSAULT,,,,,4126-B W BURLEIGH ST
150270160,01/27/2015,10:22 PM,7,AGGRAVATED ASSAULT,,,,,2925 N 38TH ST
150260006,01/26/2015,12:53 AM,5,SIMPLE ASSAULT,DISORDERLY CONDUCT,,,,3384 N 28TH ST #5
150260016,01/26/2015,03:15 AM,,HOMICIDE,,,,,2825 N 24TH ST
150260022,01/26/2015,07:00 AM,7,SIMPLE ASSAULT,,,,,4715 N 41ST ST
150260040,01/26/2015,09:52 AM,5,SIMPLE ASSAULT,,,,,3031 W CAPITOL DR #2
150260053,01/26/2015,10:52 AM,7,THEFT FROM BUILDING,,,,,3312 N 37TH ST
150260079,01/26/2015,03:42 PM,7,MOTOR VEHICLE THEFT,,,,,3611 N 37TH ST
150260103,01/26/2015,05:04 PM,7,SIMPLE ASSAULT,,,,,4533 N 36TH ST #203
150260123,01/26/2015,06:50 PM,7,SHOPLIFTING,,,,,5808 W HAMPTON AV
150260138,01/26/2015,09:08 PM,7,INTIMIDATION,,,,,4227 N 40TH ST
150260143,01/26/2015,08:40 PM,7,AGGRAVATED ASSAULT,,,,,4550 N 48TH ST
150260147,01/26/2015,09:05 PM,7,BURGLARY/BREAKING AND ENTERING,,,,,4745 N 49TH ST
150260151,01/26/2015,09:52 PM,7,MOTOR VEHICLE THEFT,,,,,2874 N 48TH ST #LWR
150260160,01/26/2015,11:37 PM,7,MOTOR VEHICLE THEFT,,,,,2745 N 47TH ST
150250024,01/25/2015,03:46 AM,7,SIMPLE ASSAULT,,,,,3173 N 41ST ST
150250049,01/25/2015,10:29 AM,7,AGGRAVATED ASSAULT,,,,,3241 N 34TH ST
150250066,01/25/2015,01:32 PM,7,THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES,,,,,3833 W CAPITOL DR
150250070,01/25/2015,01:35 PM,7,AGGRAVATED ASSAULT,,,,,4555 N 45TH ST
150250085,01/25/2015,02:27 PM,7,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,DISORDERLY CONDUCT,TRESPASSING,,,3209 N 39TH ST
150250105,01/25/2015,06:03 PM,5,SIMPLE ASSAULT,,,,,2825 N 24TH PL
150250106,01/25/2015,05:38 PM,5,AGGRAVATED ASSAULT,,,,,3231 N 25TH ST
150250139,01/25/2015,10:45 PM,7,SIMPLE ASSAULT,,,,,3242 N 35TH ST
150240009,01/24/2015,12:21 AM,5,BURGLARY/BREAKING AND ENTERING,,,,,3321 N 26TH ST
150240042,01/24/2015,05:28 AM,7,MOTOR VEHICLE THEFT,,,,,3020 N 39TH ST
150240078,01/24/2015,11:23 AM,7,ALL OTHER LARCENY,,,,,4113 W HAMPTON AV
150240093,01/24/2015,12:47 PM,7,INTIMIDATION,,,,,4063 N ELMHURST RD #LOWER
150240093,01/24/2015,12:47 PM,7,ROBBERY,KIDNAPING,BURGLARY/BREAKING AND ENTERING,,,4063 N ELMHURST RD #LOWER
150240110,01/24/2015,12:56 PM,7,THEFT FROM BUILDING,,,,,3354 N 40TH ST
150240114,01/24/2015,01:20 PM,7,SIMPLE ASSAULT,,,,,4231 W CAPITOL DR
150240121,01/24/2015,05:02 PM,7,MOTOR VEHICLE THEFT,,,,,3839 N 38TH ST
150240130,01/24/2015,07:01 PM,7,SIMPLE ASSAULT,,,,,3817 N 35TH ST #217
150240133,01/24/2015,05:58 PM,5,BURGLARY/BREAKING AND ENTERING,,,,,3003 N 21ST ST #LWR
150240135,01/24/2015,05:13 PM,5,FORCIBLE FONDLING,,,,,
150240142,01/24/2015,07:42 PM,7,ALL OTHER LARCENY,,,,,2758 N 48TH ST
150240143,01/24/2015,09:49 PM,7,BURGLARY/BREAKING AND ENTERING,,,,,3517 W ROOSEVELT DR
150240151,01/24/2015,07:48 PM,7,SIMPLE ASSAULT,,,,,4563 N 41ST ST
150230020,01/23/2015,04:16 AM,7,SIMPLE ASSAULT,,,,,3338 N 42ND ST
150230029,01/23/2015,08:12 AM,5,THEFT FROM MOTOR VEHICLE,,,,,3929 N 28TH ST
