INCIDENT_N,CDATE,CTIME,POLICE_DISTRICT,OFFENSE1,OFFENSE2,OFFENSE3,OFFENSE4,OFFENSE5,LOCATION
150310048,01/31/2015,11:22 AM,3,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,,,,,1915 N 28TH ST
150310082,01/31/2015,01:23 PM,5,THEFT FROM BUILDING,,,,,2852 N 29TH ST
150310084,01/31/2015,04:31 PM,3,SIMPLE ASSAULT,,,,,2631 N 41ST ST
150310117,01/31/2015,08:04 PM,3,BURGLARY/BREAKING AND ENTERING,,,,,2438 N 39TH ST
150310124,01/31/2015,10:16 PM,3,AGGRAVATED ASSAULT,,,,,2200 N 31ST ST #312
150300033,01/30/2015,04:20 AM,5,FORCIBLE FONDLING,,,,,
150300049,01/30/2015,10:02 AM,3,THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES,,,,,1220 W VLIET ST
150300071,01/30/2015,10:55 AM,3,BURGLARY/BREAKING AND ENTERING,,,,,4122 W LISBON AV
150280065,01/29/2015,09:00 AM,3,FORCIBLE FONDLING,,,,,
150290016,01/29/2015,01:26 AM,3,SHOPLIFTING,,,,,3033 W LISBON AV
150290090,01/29/2015,02:11 PM,3,AGGRAVATED ASSAULT,,,,,2502 W TAMARACK ST
150290104,01/29/2015,03:44 PM,3,BURGLARY/BREAKING AND ENTERING,,,,,2450 N 23RD ST
150290117,01/29/2015,05:39 PM,3,AGGRAVATED ASSAULT,,,,,4720 W LISBON AV
150290123,01/29/2015,11:00 PM,3,ROBBERY,,,,,4806 W LISBON AV
150290153,01/29/2015,09:44 PM,5,MOTOR VEHICLE THEFT,,,,,1100 W CENTER ST
150290166,01/29/2015,11:38 PM,3,MOTOR VEHICLE THEFT,,,,,2242 N 12TH ST
150280019,01/28/2015,03:18 AM,3,AGGRAVATED ASSAULT,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,,,,2566 N 41ST ST
150280038,01/28/2015,08:32 AM,3,ROBBERY,,,,,2665 N 29TH ST
150280059,01/28/2015,12:49 PM,7,MOTOR VEHICLE THEFT,,,,,2723 N 41ST ST
150280066,01/28/2015,01:10 PM,7,BURGLARY/BREAKING AND ENTERING,,,,,2810 N 36TH ST
150280079,01/28/2015,03:08 PM,3,MOTOR VEHICLE THEFT,,,,,2342 N 27TH ST
150280095,01/28/2015,05:44 PM,3,MOTOR VEHICLE THEFT,,,,,4711 W CENTER ST
150280119,01/28/2015,06:33 PM,3,ROBBERY,,,,,2022 N 20TH ST
150280126,01/28/2015,06:30 PM,3,ROBBERY,,,,,1946 N 17TH ST
150280153,01/28/2015,10:32 PM,3,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,,,,,2035 N 39TH ST
150290008,01/28/2015,10:48 PM,3,ALL OTHER LARCENY,,,,,2635 W FOND DU LAC AV
150270004,01/27/2015,01:00 AM,3,THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES,,,,,2034 N 33RD ST
150270012,01/27/2015,02:29 AM,3,MOTOR VEHICLE THEFT,,,,,3421 W NORTH AV
150270040,01/27/2015,08:57 AM,3,INTIMIDATION,,,,,2333 N 49TH ST
150270049,01/27/2015,09:38 AM,3,BURGLARY/BREAKING AND ENTERING,,,,,2652 N 37TH ST
150270070,01/27/2015,11:39 AM,3,MOTOR VEHICLE THEFT,,,,,2551 N 13TH ST
150270085,01/27/2015,01:53 PM,3,ROBBERY,,,,,4806 W LISBON AV
150270097,01/27/2015,04:31 PM,7,THEFT FROM BUILDING,,,,,2739 N 39TH ST
150270110,01/27/2015,05:08 PM,3,ROBBERY,,,,,2400 N 36TH ST
150270136,01/27/2015,05:42 PM,3,STATUTORY RAPE,,,,,
150270144,01/27/2015,08:42 PM,3,AGGRAVATED ASSAULT,,,,,2122 N 33RD ST
150270159,01/27/2015,10:57 PM,3,BURGLARY/BREAKING AND ENTERING,,,,,1919 W NORTH AV
150270162,01/27/2015,10:37 PM,3,SIMPLE ASSAULT,,,,,2608 N 45TH ST
150280108,01/27/2015,04:31 PM,3,SIMPLE ASSAULT,,,,,1600 W NORTH AV
150340096,01/27/2015,05:29 PM,3,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,,,,,2245 W FOND DU LAC AV
150260027,01/26/2015,07:57 AM,3,AGGRAVATED ASSAULT,,,,,1363 N 40TH ST #26
150260044,01/26/2015,01:13 AM,3,MOTOR VEHICLE THEFT,,,,,2351 N 31ST ST
150260049,01/26/2015,03:30 PM,3,ROBBERY,,,,,2102 W FOND DU LAC AV
150260074,01/26/2015,02:31 PM,3,THEFT FROM BUILDING,,,,,3532 W VLIET ST
150260101,01/26/2015,04:59 PM,3,BURGLARY/BREAKING AND ENTERING,,,,,2320-A W CLARKE ST
150260104,01/26/2015,06:03 PM,3,THEFT FROM MOTOR VEHICLE,,,,,2100 W NORTH AV
150260107,01/26/2015,05:13 PM,3,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,,,,,1826 N 20TH ST
150260150,01/26/2015,09:51 PM,3,SIMPLE ASSAULT,,,,,2116 N 36TH ST
150220065,01/25/2015,12:11 PM,3,AGGRAVATED ASSAULT,DISORDERLY CONDUCT,,,,1011 W CENTER ST
150250028,01/25/2015,05:01 AM,5,ROBBERY,,,,,2747 N 24TH PL
150250043,01/25/2015,10:09 AM,3,THEFT FROM BUILDING,,,,,2614 N 24TH PL
150250047,01/25/2015,09:44 AM,3,BURGLARY/BREAKING AND ENTERING,,,,,3416 W WALNUT ST
150250057,01/25/2015,11:58 AM,3,SIMPLE ASSAULT,,,,,4221 W NORTH AV #304
150250059,01/25/2015,10:32 AM,3,AGGRAVATED ASSAULT,,,,,3948 W GALENA ST
150250094,01/25/2015,05:15 PM,3,SIMPLE ASSAULT,,,,,3500 W NORTH AV
150250126,01/25/2015,09:26 PM,3,MOTOR VEHICLE THEFT,,,,,2601 W NORTH AV
150250133,01/25/2015,09:26 PM,3,SIMPLE ASSAULT,,,,,2500 N 35TH ST
150240022,01/24/2015,01:58 AM,3,SIMPLE ASSAULT,,,,,2621 N 49TH ST
150240030,01/24/2015,02:20 AM,3,AGGRAVATED ASSAULT,,,,,2242 N 12TH ST
150240038,01/24/2015,03:42 AM,3,AGGRAVATED ASSAULT,,,,,1338 W FOND DU LAC AV #104
150240044,01/24/2015,06:26 AM,3,BURGLARY/BREAKING AND ENTERING,,,,,2548 W MEDFORD AV #UPPR
150240045,01/24/2015,04:17 AM,3,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,,,,,2509 N 48TH ST
150240051,01/24/2015,08:14 AM,3,THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES,,,,,1800 W MEINECKE AV
150240081,01/24/2015,11:59 AM,3,AGGRAVATED ASSAULT,,,,,2510 W NORTH AV
150240087,01/24/2015,01:14 PM,3,MOTOR VEHICLE THEFT,,,,,2242 N 12TH ST
150240153,01/24/2015,08:06 PM,3,BURGLARY/BREAKING AND ENTERING,,,,,1440 N 40TH ST
150240167,01/24/2015,10:03 PM,3,AGGRAVATED ASSAULT,,,,,2655 N 15TH ST
150240170,01/24/2015,10:22 PM,3,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,,,,,2239 N 28TH ST
150250002,01/24/2015,04:34 PM,3,FORCIBLE SODOMY,,,,,
150230010,01/23/2015,01:47 AM,3,THEFT FROM MOTOR VEHICLE,,,,,4807 W CENTER ST
150230015,01/23/2015,01:33 AM,3,SIMPLE ASSAULT,,,,,2542-B N 51ST ST
150230019,01/23/2015,03:15 AM,3,MOTOR VEHICLE THEFT,,,,,2154 N 37TH ST
150230028,01/23/2015,07:23 AM,3,ALL OTHER LARCENY,,,,,1829 W NORTH AV
150230051,01/23/2015,07:57 AM,3,BURGLARY/BREAKING AND ENTERING,,,,,2453 N GRANT BL
150230057,01/23/2015,11:18 AM,3,AGGRAVATED ASSAULT,,,,,912 W CLARKE ST
150230074,01/23/2015,02:30 PM,3,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,DISORDERLY CONDUCT,,,,2415 W LLOYD ST
150230090,01/23/2015,05:00 PM,3,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,,,,,2345 N 25TH ST
150230127,01/23/2015,08:03 PM,3,ROBBERY,,,,,2236 N 42ND ST
150230130,01/23/2015,07:45 PM,3,ROBBERY,,,,,2108 N 42ND ST
150240017,01/23/2015,08:34 PM,3,ALL OTHER LARCENY,,,,,2422 N 35TH ST
150220007,01/22/2015,01:56 AM,3,MOTOR VEHICLE THEFT,,,,,4000 W NORTH AV
150220015,01/22/2015,07:15 AM,3,ROBBERY,BURGLARY/BREAKING AND ENTERING,,,,1719-A N 29TH ST
150220026,01/22/2015,10:35 AM,3,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,,,,,3814 W NORTH AV
150220044,01/22/2015,10:29 AM,3,THEFT FROM BUILDING,,,,,2727 W NORTH AV
150220070,01/22/2015,04:26 PM,3,ALL OTHER LARCENY,,,,,924 N 35TH ST
150220100,01/22/2015,08:52 PM,3,THEFT FROM MOTOR VEHICLE,,,,,2239 N 41ST ST
150220109,01/22/2015,05:04 PM,5,MOTOR VEHICLE THEFT,,,,,2801 N 20TH ST
150220118,01/22/2015,11:14 PM,3,MOTOR VEHICLE THEFT,,,,,2629 N 50TH ST
