INCIDENT_N,CDATE,CTIME,POLICE_DISTRICT,OFFENSE1,OFFENSE2,OFFENSE3,OFFENSE4,OFFENSE5,LOCATION
150310041,01/31/2015,09:52 AM,6,ALL OTHER LARCENY,,,,,1923 W OKLAHOMA AV
150300047,01/30/2015,09:41 AM,6,MOTOR VEHICLE THEFT,,,,,1935 W MORGAN AV
150300100,01/30/2015,06:30 PM,2,THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES,,,,,1817 W LINCOLN AV
150340071,01/30/2015,01:51 PM,6,ROBBERY,,,,,2500 W OKLAHOMA AV
150290041,01/29/2015,06:33 AM,6,BURGLARY/BREAKING AND ENTERING,,,,,3706 S 19TH ST
150290050,01/29/2015,08:56 AM,6,ROBBERY,,,,,3515 S 13TH ST
150290061,01/29/2015,10:31 AM,6,BURGLARY/BREAKING AND ENTERING,,,,,3545 S 18TH ST
150290078,01/29/2015,01:04 PM,6,THEFT FROM MOTOR VEHICLE,,,,,3237 S 16TH ST
150290101,01/29/2015,04:00 PM,2,AGGRAVATED ASSAULT,,,,,1832 W LINCOLN AV
150290138,01/29/2015,07:42 PM,6,THEFT FROM BUILDING,,,,,2011 W ALVINA AV
150280032,01/28/2015,09:15 AM,6,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,,,,,1398 W COLLEGE AV
150280042,01/28/2015,09:33 AM,6,INTIMIDATION,,,,,4200 S HOWELL AV
150280068,01/28/2015,01:25 PM,6,SHOPLIFTING,,,,,6292 S 27TH ST
150280143,01/28/2015,10:10 PM,6,MOTOR VEHICLE THEFT,,,,,1500 E COLLEGE AV
150280144,01/28/2015,08:10 PM,6,THEFT FROM MOTOR VEHICLE,,,,,1500 W COLLEGE AV
150280145,01/28/2015,08:55 PM,6,ROBBERY,,,,,5679 S 27TH ST
150290001,01/28/2015,10:39 PM,6,AGGRAVATED ASSAULT,,,,,1716 W LAYTON AV
150270001,01/27/2015,12:17 AM,6,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,,,,,1500 W COLLEGE AV
150270032,01/27/2015,08:23 AM,6,THEFT FROM MOTOR VEHICLE,,,,,1801 W COLLEGE AV
150270059,01/27/2015,09:39 AM,6,THEFT FROM MOTOR VEHICLE,,,,,3541 S 5TH PL
150270134,01/27/2015,07:27 PM,6,INTIMIDATION,,,,,5649 S MADELINE AV
150260070,01/26/2015,11:10 AM,6,THEFT FROM BUILDING,,,,,3530 S 16TH ST
150260128,01/26/2015,08:07 PM,6,MOTOR VEHICLE THEFT,,,,,2020 W LAYTON AV
150250115,01/25/2015,07:25 PM,6,SIMPLE ASSAULT,,,,,4601 S 1ST ST #228
150250119,01/25/2015,07:48 PM,6,THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES,,,,,3218 S 24TH ST
150250122,01/25/2015,05:45 PM,6,THEFT FROM BUILDING,,,,,6160 S 6TH ST #42
150250144,01/25/2015,11:36 PM,6,ROBBERY,,,,,800 E LAYTON AV
150240060,01/24/2015,10:00 AM,6,MOTOR VEHICLE THEFT,,,,,3332 S 17TH ST
150240074,01/24/2015,10:48 AM,6,MOTOR VEHICLE THEFT,,,,,2126 W HOWARD AV
150240092,01/24/2015,01:18 PM,6,THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES,,,,,5224 S 13TH ST
150240113,01/24/2015,03:01 PM,6,ALL OTHER LARCENY,,,,,4519 S JASPER AV
150260156,01/24/2015,07:37 PM,2,AGGRAVATED ASSAULT,,,,,2357 S 16TH ST #LOW
150230115,01/23/2015,11:12 PM,6,SIMPLE ASSAULT,,,,,343-B E WATERFORD AV
150230120,01/23/2015,06:47 PM,6,BURGLARY/BREAKING AND ENTERING,,,,,6010 S 27TH ST #8
150220013,01/22/2015,07:15 AM,6,THEFT FROM MOTOR VEHICLE,,,,,1007 W MORGAN AV
150220030,01/22/2015,10:50 AM,6,MOTOR VEHICLE THEFT,,,,,2240 W LAYTON AV
150220033,01/22/2015,10:18 AM,6,ALL OTHER LARCENY,,,,,5380 S 13TH ST
150220034,01/22/2015,10:18 AM,6,ALL OTHER LARCENY,,,,,5380 S 13TH ST
150220049,01/22/2015,10:41 AM,6,THEFT FROM MOTOR VEHICLE,,,,,6153 S AVALON ST
150210025,01/21/2015,08:35 AM,6,THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES,,,,,401 W BODEN ST
150210052,01/21/2015,10:52 AM,6,THEFT FROM BUILDING,,,,,6121 S 15TH PL
150210085,01/21/2015,01:49 PM,6,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,,,,,4601 S 1ST ST
150210087,01/21/2015,01:18 PM,6,MOTOR VEHICLE THEFT,,,,,2120 W LAYTON AV #211
150210111,01/21/2015,04:36 PM,6,INTIMIDATION,,,,,4221 S 6TH ST #A20
150210115,01/21/2015,06:05 PM,6,THEFT FROM BUILDING,,,,,3120 S 27TH ST
150200016,01/20/2015,07:29 AM,6,THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES,,,,,5018 S 2ND ST
150200027,01/20/2015,09:09 AM,6,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,,,,,4601 S 1ST ST
150200035,01/20/2015,09:54 AM,6,THEFT FROM MOTOR VEHICLE,,,,,4545 S LENOX ST
150200050,01/20/2015,11:27 AM,6,MOTOR VEHICLE THEFT,,,,,4601 S 1ST ST
150200102,01/20/2015,05:20 PM,6,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,,,,,3586 S 19TH ST
150200103,01/20/2015,05:02 PM,6,ROBBERY,,,,,3165 S 16TH ST
150200114,01/20/2015,05:16 PM,6,SIMPLE ASSAULT,,,,,5267 S 13TH ST
150190034,01/19/2015,09:14 AM,6,MOTOR VEHICLE THEFT,,,,,2012 W VAN BECK WA
150190044,01/19/2015,08:30 AM,6,BURGLARY/BREAKING AND ENTERING,,,,,4132 S 5TH PL
150190045,01/19/2015,10:25 AM,6,THEFT FROM MOTOR VEHICLE,,,,,4307 S LENOX ST
150190046,01/19/2015,10:32 AM,6,THEFT FROM MOTOR VEHICLE,,,,,4364 S LENOX ST
150190068,01/19/2015,01:15 PM,6,MOTOR VEHICLE THEFT,,,,,2240 W LAYTON AV
150190080,01/19/2015,11:28 AM,6,MOTOR VEHICLE THEFT,,,,,4610 S 20TH ST #2
150190141,01/19/2015,06:46 PM,6,MOTOR VEHICLE THEFT,,,,,3927 S 1ST PL
150180045,01/18/2015,08:09 AM,6,THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES,,,,,2156 W MORGAN AV
150180054,01/18/2015,09:36 AM,6,SIMPLE ASSAULT,,,,,2317 W HOWARD AV #1
150180094,01/18/2015,02:35 PM,6,THEFT FROM MOTOR VEHICLE,,,,,2539 W BRIDGE ST
150180118,01/18/2015,08:36 PM,6,MOTOR VEHICLE THEFT,,,,,2110 W LAYTON AV
150170048,01/17/2015,08:36 AM,6,THEFT FROM MOTOR VEHICLE,,,,,4472 S PINE AV
150170053,01/17/2015,11:38 AM,6,BURGLARY/BREAKING AND ENTERING,,,,,952 W EDEN PL
150170084,01/17/2015,04:36 PM,6,THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES,,,,,1651 W EDGERTON AV #N
150170104,01/17/2015,07:13 PM,6,SIMPLE ASSAULT,,,,,5665 S 13TH ST #4
150160089,01/16/2015,03:50 PM,6,AGGRAVATED ASSAULT,,,,,1409 W GRANADA ST #11
150160106,01/16/2015,05:21 PM,6,THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES,,,,,1909 W OKLAHOMA AV
150150092,01/15/2015,04:38 PM,6,MOTOR VEHICLE THEFT,,,,,110 E LAYTON AV
150150113,01/15/2015,07:15 PM,6,AGGRAVATED ASSAULT,BURGLARY/BREAKING AND ENTERING,,,,3811 S 22ND ST
150140025,01/14/2015,07:55 AM,6,THEFT FROM MOTOR VEHICLE,,,,,3735 W BIRCHWOOD AV
150140050,01/14/2015,10:40 AM,6,THEFT FROM BUILDING,,,,,2306 W MORGAN AV
150140094,01/14/2015,04:36 PM,6,BURGLARY/BREAKING AND ENTERING,,,,,3268 S 22ND ST
150140104,01/14/2015,03:48 PM,6,FORCIBLE SODOMY,,,,,
150140126,01/14/2015,07:30 PM,6,SIMPLE ASSAULT,,,,,5851 S 19TH CT
150140138,01/14/2015,09:12 PM,6,BURGLARY/BREAKING AND ENTERING,,,,,4571 S QUINCY AV
150130018,01/13/2015,07:46 AM,6,MOTOR VEHICLE THEFT,,,,,2000 W SALEM ST
150130025,01/13/2015,09:02 AM,6,THEFT FROM BUILDING,,,,,2546 W PARNELL AV
150130026,01/13/2015,08:14 AM,6,BURGLARY/BREAKING AND ENTERING,,,,,1018 W EDEN PL
150130062,01/13/2015,12:21 PM,6,SIMPLE ASSAULT,,,,,3469 S 20TH ST
150130082,01/13/2015,01:43 PM,6,BURGLARY/BREAKING AND ENTERING,,,,,1501 W MORGAN AV
150130083,01/13/2015,04:02 PM,6,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,,,,,4620 S 5TH ST
150120034,01/12/2015,08:50 AM,6,BURGLARY/BREAKING AND ENTERING,,,,,3647 S 14TH ST
150120049,01/12/2015,11:16 AM,6,THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES,,,,,3209 S 22ND ST
150120103,01/12/2015,04:00 PM,6,THEFT FROM BUILDING,,,,,6541 S 13TH ST
150120105,01/12/2015,05:02 PM,6,BURGLARY/BREAKING AND ENTERING,,,,,3721 S 5TH PL
150120106,01/12/2015,05:37 PM,6,THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES,,,,,1500 W HOLT AV
150120150,01/12/2015,09:32 PM,6,FORCIBLE SODOMY,,,,,
150120158,01/12/2015,11:33 PM,6,THEFT FROM MOTOR VEHICLE,,,,,5890 S HOWELL AV
150160049,01/12/2015,01:19 PM,6,THEFT FROM BUILDING,,,,,4334 S TENNESSEE AV
150110022,01/11/2015,06:29 AM,6,BURGLARY/BREAKING AND ENTERING,,,,,3711 S 3RD ST
150110045,01/11/2015,12:16 PM,2,MOTOR VEHICLE THEFT,,,,,2342 S 19TH ST
150110049,01/11/2015,12:05 PM,6,BURGLARY/BREAKING AND ENTERING,,,,,3540 S 4TH ST
150100018,01/10/2015,03:51 AM,6,AGGRAVATED ASSAULT,,,,,3060 S 16TH ST
150100040,01/10/2015,12:27 PM,6,INTIMIDATION,,,,,3320 S 16TH ST
150090039,01/09/2015,11:47 AM,6,THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES,,,,,5848 S 27TH ST
150090048,01/09/2015,01:16 PM,2,MOTOR VEHICLE THEFT,,,,,2255 S 17TH ST
150090057,01/09/2015,02:34 PM,6,THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES,,,,,2025 W OKLAHOMA AV
150090060,01/09/2015,03:10 PM,6,AGGRAVATED ASSAULT,DISORDERLY CONDUCT,,,,4886 S 19TH ST
150060009,01/06/2015,04:12 AM,6,THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES,,,,,3218 S 24TH ST
150060018,01/06/2015,08:23 AM,2,AGGRAVATED ASSAULT,,,,,2474 S 17TH ST
150060060,01/06/2015,02:24 PM,6,THEFT FROM BUILDING,,,,,4575 S 23RD ST
150060091,01/06/2015,05:58 PM,6,BURGLARY/BREAKING AND ENTERING,,,,,3409 S 20TH ST
150040043,01/04/2015,09:49 AM,6,BURGLARY/BREAKING AND ENTERING,,,,,6200 S AVALON ST
150040045,01/04/2015,11:05 AM,6,BURGLARY/BREAKING AND ENTERING,,,,,3232 S 21ST ST
150040053,01/04/2015,12:30 PM,6,SIMPLE ASSAULT,,,,,3606 S 20TH ST
